Post,Pos,Neu,Neg,Compound,Overall Sentiment
"TD 4 | The 5 am advisory is in. TD 4 will slowly strengthen over the next 24 hours as it moves into the Gulf. The track will stay west of Tampa Bay, but still close enough to us for widespread showers and storms, isolated tornados and some minor storm surge. Details all morning on Good Morning Tampa Bay.",0.091,0.86,0.049,0.3716,POS
A Tropical Storm Warning is now in effect for all of West Central Florida including Tampa Bay. This means Tropical Storm conditions are expected within 36 hours. A Hurricane Watch is now in effect from Yankeetown north to the Aucilla River.,0.0,0.941,0.059,-0.34,NEG
"Inland Communities | TD 4's current track should keep the tropical storm force winds (39+ mph) to your west, which is why you have not been upgraded to a Tropical Storm Warning. A wobble east could change that so keep checking in with us.",0.0,0.943,0.057,-0.34,NEG
"SAT AM UPDATE | Good morning! Some changes with what is now TD 4 overnight.
TRACK CHANGE | Check out the first graphic, the blue one from the NHC. Friday afternoon the forecast was for the center of TD 4 to be located on the north coast of Cuba just emerging over the Gulf Saturday AM. I've drawn in the actual position. See the difference? TD 4 is tracking more west & is farther south than expected. Though the difference doesn't seem like much, it's actually about 70 miles farther south than expected. This means big changes in the forecast down the line. 
FORECAST CHANGE | Because of this farther south track, the storm will turn north later & thus make it farther west into the Gulf. A track farther west means more time over the water & a stronger storm. This is why the intensity forecast is now up to 70 mph from the NHC & why a hurricane watch is up for the Big Bend of Florida. Interestingly, none of the models right now bring this system to that strength, but since the water in the Gulf is so warm, NHC may be trying to get ahead of any unexpected strengthening.
OUR AREA | A track farther west & a stronger system (remember yesterday's forecast kept the storm very close to the west coast) does bring some changes for us. First, the stronger winds will now be only along the coast. It's unlikely you'll get anything strong east of I-75. Stronger systems have the strongest winds closer to the center so if the center stays well off-shore, we won't get as much wind, except in Citrus & Hernando counties since you'll be closer to the landfall location in the Big Bend.   
Because the storm delayed its turn north, the timing has now changed too. Not only will Sunday be a wet day for many, but the first half of Monday will also be stormy since the storm is not expected to come ashore in the Big Bend until very early Monday morning. I expect Monday morning to feature a couple of rain bands near the coast that could be dropping heavy rain. Isolated tornadoes will also be possible in any rain bands that setup over our area. 
Speaking of rainfall, it will definitely now be more sct'd. I still expect areas of heavy rain, but with us being farther east in the storm, there will be more ""banding"" to the rain with dry & possibly even sunny areas in between rain squalls. It's in these rain squalls that you'd find some of the stronger wind gusts. 
WIND | There probably isn't much of a change to the wind intensity over our area. It's a wash: Stronger system, but farther west. Inland counties probably won't get much of any wind (except in isolated tornadoes) while the coast may see gusts of 50-60 mph which is what we were expecting yesterday. Citrus County, closer to the center may get stronger gusts IF the system does indeed make landfall in the Big Bend Monday AM. 
WATER | A stronger system will also mean more surge potential. A system moving SW to NE at landfall in the Big Bend will push more water toward the Florida west coast. Tides MAY be in our favor here. There is a high tide at the Gandy Bridge on Sunday around 4 PM & the next high tide is Monday at 6 AM but this tide is 1.5 ft. lower. Monday morning would be the time to watch for any coastal flooding. The next higher high tide is Monday at 4 pm but by then the storm will likely be too far away to cause flooding in our area. 
CONCLUSION | Is this going to be bad? No. I think the threat level for us is the same. The system will be stronger, but farther away. The character of what we'll get has changed from a more solid, windy rain to more of a squally storm, with periods of rain followed by some breaks. This forecast could also continue to shift west. If TD 4 keeps turning north more slowly, I'd expect additional forecast track changes",0.093,0.873,0.034,0.9914,POS
"TODAY | Expect partly cloudy skies with afternoon and evening scattered showers and storms. Tomorrow, we'll see widespread showers and storms associated with Tropical Depression 4. If you live in flood prone areas, use today to get ready for the potential of minor storm surge or fresh water flooding.",0.09,0.841,0.069,0.0258,NEU
"TD 4 | The 11 am track is in and shows no big changes with the storm center staying west of our beaches. Hopefully the center stays far enough west to lower our surge potential, however a storm surge warning is now up from Aripeka north. Surge forecasts in these areas are 3-5', with 2-4' forecast for the rest of our coast.",0.042,0.853,0.105,-0.4767,NEG
Interesting to watch the track of TD4 shift west over the last 24-48 hours. This will keep the core of the system farther west of the coast.,0.094,0.906,0.0,0.4019,POS
"It'll be interesting to see if the track of TD 4, soon-to-be Debby, continues to shift a little more west. The 11 am NHC forecast track is on the east side of where the models are clustering this morning. Now, there is a little bit of a back-and-forth ""sprinkler effect"" with the model tracks, so consistency is key, but we may not be done adjusting this one. 
A track farther west keeps more of our area out of the actual storm core, which is good. The Nature Coast still needs to watch this but the landfall location is farther NW than Idalia so that's certainly good for keeping the worst stuff farther away from Citrus County.
As far as surge, some minor surge is unavoidable. Anytime a developing & strengthening system turns NE in the Gulf, that does push water east into the west coast of Florida. I think surges will be minor but water levels a couple feet above normal tide levels can be expected with the current forecast.",0.097,0.871,0.032,0.8938,POS
Funnel cloud spotted over Brandon earlier this week. There were no reports of damage or an actual touchdown. Many of you also sent pics of this. Not unusual during our summer storms,0.031,0.817,0.152,-0.6486,NEG
Not everyone likes to read a big storm update. Here are the highlights in video form. Watch to the end to find out the special place I’ll be at during the worst of the storm & the one item I’m bringing plenty of along with me. ABC Action News - WFTS - Tampa Bay,0.048,0.837,0.115,-0.5764,NEG
"Tracking rain already moving in today. It’s moving east to west. Not directly from the storm but it is an enhanced east to west flow because of it. 
#flwx",0.0,1.0,0.0,0.0,NEU
"NEW | Flood watches have been issued through Mon evening for coastal counties for rainfall amounts of 5-10"" with some isolated amounts of 15""+ possible. The heaviest rains will fall Sun to Mon and amounts will vary based on where heaviest rain bands set up. If you live in an area that is prone to flooding from heavy rain, now is the time to make sure drains around your property are clear.",0.065,0.904,0.031,0.3818,POS
Hello Debby. The National Hurricane Center has upgraded Debby to a Tropical Storm. No real changes to the track but they do bump up winds 5 mph upon landfall which would upgrade Debby to a hurricane.,0.0,0.952,0.048,-0.1531,NEG
