Post,Pos,Neu,Neg,Compound,Overall Sentiment
TODAY | A heat advisory is back today for a heat index of around 110F at times during the afternoon. Take plenty of breaks if working outside and remember to hydrate.,0.0,1.0,0.0,0.0,NEU
Tropical storm conditions likely across Florida this weekend.,0.0,1.0,0.0,0.0,NEU
NHC has now increased the chance of tropical development in the eastern Gulf this weekend to 80%. Main impacts on us likely to be Sunday.,0.151,0.849,0.0,0.4767,POS
"Wow! Check out the amazing rainbow Allie S. captured in San Antonio, Fla. yesterday afternoon! This thing went across the entire sky! Beautiful!",0.388,0.612,0.0,0.9283,POS
"FRI AM UPDATE | Here is the latest on the tropics and our weekend.
1.) NHC has now increased the chance for development in the eastern Gulf this weekend to 80%. The system will be tracking over or close to Cuba all day today.
2.) FRIDAY | Expect advisories along with watches and warnings for the Florida west coast today or very early Saturday. Although the system won't develop until Saturday or even Sunday, because it may reach tropical storm strength, the NHC is likely to begin issuing advisories on a Potential Tropical Cyclone (PTC) Friday or very early Saturday. This allows them to issue tropical storm watches and warnings for the Florida coast. These will be necessary as this system does have the potential to reach tropical storm strength. The next name on the list is Debby.
3.) SATURDAY |  Looks like a normal August day with some changes moving in very late in the day. Look for sunny skies early then sct'd showers developing during the afternoon. Late in the evening, more substantial areas of rain may begin to move in from the southeast, especially south of I-4. Much of this may not happen until after dark Saturday so get your outdoor plans done early. Although it may get breezy, wind will not be an issue on Saturday.
4.) SUNDAY | This will ALL depend on exact track and intensity so let's just assume the system stays west of our coast and moves north toward the Big Bend. Let's also assume it reaches low to moderate level tropical storm strength (sustained winds of 40-60 mph). With this in mind, we likely get clouds and lots of rain or periods of heavy rain on Sunday. A tornado watch is possible depending on the intensity of the storm (this is the normal procedure on the east side of tropical systems that are interacting with land). Will it be bad? Nope. Think windy, gusty thunderstorm at the worst. There will be at least some minor water rise at the coast so areas that easily flood may see water on Sunday. Though winds may not be a huge issue, gusts of 50-60 mph can knock down tree branches and thus cause isolated power outages. Rainfall will also be an issue as amounts of 2-6""+ (depending on the strength and track of the storm) could cause some areas to see localized flooding. You know, based on previous rain events, if that's you, and your street floods during a summer thunderstorm, it may definitely flood during these rains too. 
5.) MONDAY | Based on current track data, this system will be moving away from Florida on Monday. I think we could still see some showers early in the day from this and the east coast from JAX to MIA could see some sct'd storms Monday midday or early afternoon. The storm will move off the coast of NE Florida and the models are in pretty good agreement that it will gain back some or maybe even much more intensity. This could be a bigger issue for the Carolinas from SC to the Outer Banks of NC (OBX). Some models have it intensifying to a strong tropical storm or maybe even a hurricane off the Carolina coast. ",0.086,0.877,0.037,0.9743,POS
"The US National Weather Service Tampa Bay Florida has issued a heat advisory for this afternoon. Here is a look at the maximum forecast heat index for today.
Take plenty of breaks in the A/C or shade if you're working outside today. Hydrate continuously, even if not thirsty, and pay attention to any signs of overheating that your body may be showing. Check in on those around you too, making sure they are taking care of themselves in this heat.
If you can, move outdoor work plans to later in the day or earlier in the morning to avoid the hottest part of the day, mid-afternoon.",0.062,0.917,0.02,0.5568,POS
Don't be surprised if NHC starts to issue advisories for a Potential Tropical Cyclone today or Sat AM along with watches/warnings.,0.0,0.919,0.081,-0.1695,NEG
"NEW | Chance of development now up to 60% over the next 2 days, 90% beyond that. NHC says watches/warnings will likely be needed for Florida later today so also expect advisories on a Potential Tropical Cyclone. This is all to be expected and is ""on track"" with the forecast.",0.042,0.958,0.0,0.25,POS
"n terms of intensity, AT MOST, models keep this a minimal to moderate tropical storm (40-60 mph) for Florida west coast",0.0,1.0,0.0,0.0,NEU
Our system now has a track... the NHC has designated the tropical wave as PTC 4. The track shows a tropical storm somewhere along our coast by Sunday morning. Tropical Storm watches are now in effect. I'll post that map next.,0.0,1.0,0.0,0.0,NEU
A Tropical Storm WATCH has been issued from Pasco/Hernando Co line south (Aripeka) south. A Tropical Storm WARNING is in effect from Bonita Beach south. The WATCH means tropical storm conditions are possible within the next 48 hours.,0.0,0.918,0.082,-0.4824,NEG
"Inland Communities | You are also under a Tropical Storm Watch for Polk, Hardee and DeSoto counties as tropical storm conditions are possible here as well within 48 hours.",0.075,0.925,0.0,0.2732,POS
5pm Advisory update for PTC #4:  No changes to winds or track. The Tropical Storm Watch has been extended North to Levy county. We'll have complete updates on ABC Action News and we will post our thoughts throughout the evening on social media.,0.0,0.95,0.05,-0.296,NEG
"NEW | NHC forecast now up to 65 mph at landfall in the Big Bend or Nature coast. This track keeps the storm a little more west, over water, & slows it down, allowing the storm to pick up more water. Thus....we now have the potential for a slight surge.",0.0,1.0,0.0,0.0,NEU
We’re now tracking PTC 4. Here is the latest. ABC Action News - WFTS - Tampa Bay,0.0,1.0,0.0,0.0,NEU
"Here is why there is now a surge watch. Though the models generally agree on track, they disagree on how quickly the storm moves through Florida. The GFS (on the right) is much faster than the EURO (on the left). It slows the low down. Both of these maps show the storms (“L”) position at 2 am on Monday. The GFS is already past Jacksonville while the EURO is just getting to Cedar Key.",0.033,0.906,0.062,-0.296,NEG
I'd call this a 100% chance of rain.,0.25,0.75,0.0,0.25,POS
"WOW! As we just posted, the NHC has indeed moved the track of what is now Tropical Depression #4 quite a bit to the West. The center has reformed South of Cuba and West of its original spot. This is certainly good news for our area yet it also increases the chance of a stronger storm in the Big Bend Area. Updates to come shortly after the newscast. Check us out at 11 on ABC Action News.",0.192,0.766,0.042,0.9067,POS
