Post,Pos,Neu,Neg,Compound,Overall Sentiment
DEBBY 5 AM | No changes. Debby is slowly strengthening with 50 mph winds. No changes to our forecast with the core of the storm staying well west of our coast. Showers and storms pick up in coverage later this morning. Localized flooding is possible with a Flood Watch for the entire area. A tornado threat will increase later today as well.,0.142,0.745,0.114,0.2263,POS
"SUN AM UPDATE 
TRACK | There are no changes to the track of the storm. Debby is expected to move north along the Florida west coast today & up toward the Big Bend Monday morning where the storm may become a hurricane. 
WINDS | Tropical storm force winds begin in our area, along the coast, south to north starting this morning. The NHC forecast calls for winds of 39-57 mph to extend 130-140 miles southeast of the center. If Debby goes right down the middle of the current cone, then it will track about 100 miles west of Indian Rock Beach. This means that those of us within 30-40 miles of the coast may briefly get into sustained winds of 39 mph+ but likely below 50 mph (with higher gusts). 
Strong tropical storm force winds (57-73 mph) are expected to extend only 30 miles east of the center. This means that no one in our area will see sustained winds greater than 57 mph. 
Hurricane-force winds (74 mph+) are only expected to extend 15 miles from the center. No one in our area (Citrus to Sarasota County) will get hurricane winds. 
RAIN | The heaviest & most consistent rain will be along the coast. East of I-75 the rain will be sct'd until you get to the east coast where there will be just sct'd showers. Check out the included rainfall forecast map to get an approximation of how much your area will see. Amounts will range from 10""+ along the coast to only 2-4"" in eastern Polk & Highlands Counties. Your location between those two extremes determines how much you get. Flooding is possible from heavy rain & is most likely in areas west of I-75.
SURGE | A overall low-level rise of 2-4' is likely with Debby today & tomorrow during times of high tides. This means that a normal high tide could be 2-4' higher than normal. Minor coastal flooding is possible.     
TORNADOS | We are under a level 2 out of 5 risk of severe storms today. There will be two areas that may see tornadoes today. Some will be in the main shield of the storm, near the coast. This area sometimes sees quick spin-ups. The other region will be those east of I-75. Here we're likely to see some sun during the day. The sun will heat things up causing sct'd thunderstorms to form in bands, east of the storm. Any of these thunderstorm bands may be strong & can produce a quick tornado. These tornadoes are usually EF-0 or EF-1 but can cause damage.  
CONCLUSION | Will this system be bad? No. What will ""my town name"" get? Please use the maps & info about to guestimate where you fit in all of this. Your town will get rain & a little wind, is the answer for really everyone. Overall Debby is definitely not a storm you should completely disregard, but it's also not something that will be significant for Tampa Bay. Just be careful when getting around in the rain, don't drive through flooded areas, & play it smart out there. For the majority of people, you'll get rain, a little gusty wind & likely even some sun in-between.",0.069,0.88,0.051,0.8508,POS
"FLOOD RISK | These numbers change with every update, but this gives us a general idea of the 4-8"" rain forecast we have moving forward, with a few spots seeing a bit more or a bit less. With a tropical system, it's all about the bands and where they set up. Heaviest totals will be in our coastal counties, with lowest totals inland.",0.0,0.912,0.088,-0.6504,NEG
We’re spending the day at Magic Kingdom while tropical storm Debbie moves around Florida,0.0,1.0,0.0,0.0,NEU
Follow me on Instagram. Check out my IG stories for updates from the Magic Kingdom today.,0.0,1.0,0.0,0.0,NEU
Experiencing the Magic  together.,0.0,1.0,0.0,0.0,NEU
What’s the storm doing where you are? Post your reports below!,0.0,1.0,0.0,0.0,NEU
"Seeing some minor flooding in Treasure Island. Anyone else seeing water?
📷: City of Treasure Island",0.239,0.761,0.0,0.5267,POS
Tarpon Springs flooding.,0.0,1.0,0.0,0.0,NEU
Managed to avoid ponchos thru 2 pm. That luck will likely change for the evening as the steady rain approaches. Still having an amazing time. 30 min is the longest we've waited. Most lines are 15 minutes.,0.162,0.786,0.052,0.6808,POS
