Comments,NEG,NEU,POS,Compound,Sentiment
"Praying for a cold front, a high to move in to shove it south of Florida completely and into the middle of the Atlantic, never to be seen again. Seriously.",0.056,0.861,0.083,0.2023,POS
" praying in agreement. Matthew 18 19-20 “Again, truly I tell you that if two of you on earth agree about anything they ask for, it will be done for them by my Father in heaven. For where two or three gather in my name, there am I with them.”",0.0,0.745,0.255,0.9246,POS
God is the only one who may help us. I think of the destruction and death that may be caused and the lives who will be changed. I think of all of the people who lost everything from Helene.,0.212,0.685,0.103,-0.7269,NEG
 yes! Yes! Yes! Father God! You calmed the sea You can move this storm! ,0.0,0.392,0.608,0.918,POS
 amen! Let us all pray. Thank you Lord.,0.0,0.541,0.459,0.6239,POS
I mean starting tomorrow all next week shows lower 80’s for St. Pete at least,0.145,0.855,0.0,-0.296,NEG
is tooooooo Go south Milton PLEASE miss FLORIDA,0.15,0.564,0.285,0.347,POS
I will be very displeased if there's ever a hurricane Kelly. I like the vintage names.,0.191,0.659,0.15,-0.1761,NEG
"my 5 year old is named Kyle and my husband is David. My son tells me today very excitedly, ""there's been a hurricane Kyle and hurricane David before but never a hurricane Tenley"" 😆 Such a FL kid thing to be excited about lol",0.0,0.798,0.202,0.8441,POS
"Kathy isn’t allowed, either!",0.0,1.0,0.0,0.0,NEU
such a fun thing to worry about. gtfoh,0.259,0.446,0.295,0.1027,POS
"hurricane Karen or Chad or Linda
Listen Linda!!! LEAVE FLORIDA ALONE!!!! LEAVE THEM ALONE!.",0.296,0.704,0.0,-0.6167,NEG
 I work with a helene and a Milton  maybe lana will be the next one,0.0,1.0,0.0,0.0,NEU
Can we just build an aqua wall around the state and never think about hurricanes again? This is getting old.,0.0,1.0,0.0,0.0,NEU
"I'm not liking how early that has it becoming a Cat 3 in that track, making me think it could get even stronger. Guess we will see.",0.081,0.826,0.093,0.088,POS
Agreed. Reminds Me of Hurricane Andrew Aug 1992 which was a Horrible Cat 5 in Homestead and S of Miami Dade,0.162,0.741,0.097,-0.34,NEG
hopefully it steams itself out or has an outflow…,0.0,0.748,0.252,0.4019,POS
I thought the same. That’s over 12 hours as a cat 3 before landfall- half the gulf to cover yet and it won’t intensify to a 4? Not convinced.,0.086,0.914,0.0,-0.3089,NEG
" shear and drier air will start to impact the storm, limiting it’s strengthening",0.0,0.789,0.211,0.4939,POS
"as slow as this moves, it has time to become a 5.",0.0,1.0,0.0,0.0,NEU
they said there are some winds from the north that will keep the intensity from growing and possibly even weaken it.,0.119,0.809,0.072,-0.2732,NEG
"I live in Tampa Bay. Pray for us. We have been helping friends and neighbors who have lost everything due to the enormous storm surge (flooding). We are working tirelessly and pray we are not hit again with another devastating storm. We are weakened, yet stand strong in our resolve to bounce back.",0.131,0.635,0.233,0.7096,POS
I’ve been beyond heartbroken from Pennsylvania seeing what you’ve all been through. Please know I’m praying diligently for all of you  May the Lord weaken the hurricane and move it in a different direction. May God Almighty protect you all,0.143,0.665,0.192,0.1027,POS
" It could pulll a Charley at the last minute and go elsewhere, but who knows",0.0,1.0,0.0,0.0,NEU
And just like that Rule number seven is out be safe hunker down and be prepared my fellow Floridians ,0.0,0.636,0.364,0.765,POS
Rule 7 not in play yet. Let me know if Waffle House close.,0.156,0.844,0.0,-0.2584,NEG
3 days out? No lol just prepare,0.244,0.444,0.311,0.1531,POS
Yup Tampa.. I think the luck has wore off.,0.0,0.7,0.3,0.4588,POS
There’s no luck when one of these storms is headed in FL’s general direction. It’s scary and awful no matter where it makes landfall because you just don’t know what is going to happen; homes are lost and so are lives. I never feel lucky to have been missed in these situations.,0.274,0.661,0.065,-0.9068,NEG
Ian was gonna direct hit Tampa too. We got evac notice even in Zone C in Pinellas. if they said evac again i’d be gone but Wednesday is a long way away for the track still.,0.0,1.0,0.0,0.0,NEU
 no it hasn't. I really believe it will shift away from us by Monday.,0.155,0.845,0.0,-0.296,NEG
Tampa will not get hit,0.0,1.0,0.0,0.0,NEU
that’s what happens when so many people give credit for protection to the Indian “god”.,0.0,0.843,0.157,0.3818,POS
We don’t need your ignorant and Smart As* remark. Keep it for your self.,0.125,0.714,0.161,0.1531,POS
"I have never seen a hurricane come from this direction, this one is weird for sure!",0.104,0.737,0.159,0.2244,POS
"thought the same, not coming all the way from Africa, but forming just somewhere in the western Gulf. I would be interested in an expert meteorological view.",0.0,0.876,0.124,0.5499,POS
just saw that the last time a storm went this direction was in the1860s!,0.0,1.0,0.0,0.0,NEU
" last year in the Indian ocean, cyclones were pulling the same stunts, starting from the northern tip of Madagascar and tracking south east, throughout my 58 years, never seen such a thing. And looking at hurricane tracks in the Atlantic, none have ever started there.....",0.0,1.0,0.0,0.0,NEU
