A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
"N Sarasota, just had a hurricane shutter blown off my house. It was fine through Ian and 3 decades before. Mini tornado?",0.091,0.909,0.0,0.2023,POS
"I feel like the wind is worse now, not raining as much.
**Added**. Debby upgraded to a cat 1 hurricane, now the increased wind makes sense.",0.166,0.722,0.112,0.128,POS
"it’s all awful over here wind rain thunder!",0.0,0.68,0.32,-0.5093,NEG
totally agree,0.736,0.264,0.0,0.4201,POS
wind is very strong,0.545,0.455,0.0,0.5563,POS
agree,1.0,0.0,0.0,0.3612,POS
the wind is crazy,0.0,0.556,0.444,-0.34,NEG
AccuWeather hourly wind profile shows very strong uptick until 7 AM 😢,0.285,0.715,0.0,0.5563,POS
agree,1.0,0.0,0.0,0.3612,POS
"Strong winds, rain and some lighting here in Tampa.",0.292,0.708,0.0,0.5106,POS
🙏🙏🙏🙏🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
That's a wild looking eye right now!!,0.0,1.0,0.0,0.0,NEU
No one watches the news anymore when we get live updates from Dennis Phillips frequently! Thanks so much!,0.161,0.738,0.101,0.3147,POS
"tv on Fox Weather, Phone on Denis Phillips page. 👍",0.0,1.0,0.0,0.0,NEU
nobody watches fake news,0.0,0.492,0.508,-0.4767,NEG
amen to that!,0.0,1.0,0.0,0.0,NEU
Power out in Dunedin...they don't even have an estimate time of restoration,0.0,1.0,0.0,0.0,NEU
stay safe,0.744,0.256,0.0,0.4404,POS
Can you be more specific of area?,0.0,1.0,0.0,0.0,NEU
it's in red on the map.,0.0,1.0,0.0,0.0,NEU
the words are the first things that show up AND THEY NEED TO SAY WHAT LOCATION FOR AN EMERGENCY🤦🏻‍♀️,0.0,1.0,0.0,0.0,NEU
"you all stop enabling the text pasters with your graphics! They need to use their words...remember that saying??? Now, use your words to communicate, you can do it.",0.0,0.899,0.101,-0.4646,NEG
Power is out now for about 30 minutes and East Lake HS lightning/weather alert alarm keeps going off 🤣🤪🌀🌪️ ⚡️,0.097,0.796,0.106,-0.0516,NEG
I did not know Florida had tornado alarms is this a joke?,0.179,0.65,0.171,0.0258,NEU
you think that is funny? Have your school blown up like a bomb and lose your brother on his 6th birthday. You're an ignoramus with no heart.,0.148,0.549,0.302,-0.6808,NEG
Hillsborough county teachers are reporting to various training locations across the county at 7:30AM tomorrow (Monday) morning. Where can we view current road flooding conditions to help us get there safely? Thanks!,0.239,0.761,0.0,0.8439,POS
"my daughter does also would love to know",0.375,0.625,0.0,0.6369,POS
I don’t get why they aren’t rescheduling it! I don’t like to drive in unsafe conditions! 🤦🏽‍♀️,0.181,0.819,0.0,0.4738,POS
Pinellas did,0.0,1.0,0.0,0.0,NEU
Hernando county did,0.0,1.0,0.0,0.0,NEU
so are pinellas,0.0,1.0,0.0,0.0,NEU
they canceled,0.0,1.0,0.0,0.0,NEU
"Power out in Thonotosassa. The wind is wild out there right now.",0.0,1.0,0.0,0.0,NEU
"I seemed to have missed the part where we have some idea of when the wind will subside some in Pinellas? Midnight? , 2? 5? Tomorrow night? What?",0.0,0.888,0.112,-0.4871,NEG
exactly!!,0.0,1.0,0.0,0.0,NEU
Yes dunedin crazy wind gusts,0.333,0.37,0.296,0.0772,POS
in clearwater yes very strong,0.677,0.323,0.0,0.7425,POS
"Worse now with winds & rain than it was all day here in Palm Harbor",0.0,0.807,0.193,-0.4767,NEG
58th Street St Pete seems like a wind tunnel. At least the electric lights aren't arcing every few minutes like with Irma.,0.208,0.792,0.0,0.6124,POS
"yeah I'm on 58th in Gulfport; I've caught a few gusts, highest was 62mph",0.155,0.845,0.0,0.296,POS
had to be for the oaks to move like that.,0.217,0.783,0.0,0.3612,POS
what did you catch them with? Did you release it afterwards? 🤪😜,0.0,1.0,0.0,0.0,NEU
😂,0.0,0.0,0.0,0.0,NEU
"Power out in parts of Spring Hill for over an hour now.",0.0,1.0,0.0,0.0,NEU
Power has been out in oldsmar since 6pm,0.0,1.0,0.0,0.0,NEU
I'm off north cliff and I have power,0.0,1.0,0.0,0.0,NEU
"Mine just came back on!",0.0,1.0,0.0,0.0,NEU
I'm off Waterfall,0.0,1.0,0.0,0.0,NEU
Power is out for us. Teco says restoration time is tomorrow night! Geez. Hoping that’s not the case.,0.154,0.846,0.0,0.4753,POS
I'm sorry! The crews have to at least wait til rain & wind subside 😞,0.0,0.883,0.117,-0.1511,NEG
thank you! that’s true. Not safe for them right now,0.373,0.467,0.16,0.4915,POS
"Anyone know what green lighting is???",0.0,1.0,0.0,0.0,NEU
Power out in Pinellas Point,0.0,1.0,0.0,0.0,NEU
"Is there a place we can track current rotations",0.0,1.0,0.0,0.0,NEU
"yes, RadarScope",0.73,0.27,0.0,0.4019,POS
klystron 9,0.0,1.0,0.0,0.0,NEU
Buh bye from Sarasota Debby,0.0,1.0,0.0,0.0,NEU
"Crazy weather out there",0.0,0.556,0.444,-0.34,NEG
High winds and rain largo.,0.0,1.0,0.0,0.0,NEU
When will the rain let up for Bradenton Lakewood ranch area,0.0,1.0,0.0,0.0,NEU
Weeki Wachee not good at all it just alot of wind and rain and we still hours threw out until early morning ugh,0.0,0.801,0.199,-0.6377,NEG
We have high winds and rain here in Largo,0.0,1.0,0.0,0.0,NEU
Stay safe you guys,0.492,0.508,0.0,0.4404,POS
"The red outline is where rotation is",0.0,1.0,0.0,0.0,NEU
"Lol. There’s been like 4!",0.651,0.349,0.0,0.68,POS
"Prayers for Florida🙏🏼",0.0,1.0,0.0,0.0,NEU
"Crazy weather on St Pete Beach. Our screened porch is gone.",0.0,0.806,0.194,-0.34,NEG
"Denis Phillips.
When can we expect the wind to die down a little ? i hear banging on my roof, or somewhere close - I have trees in the front yard.. it worries me…",0.0,0.801,0.199,-0.7717,NEG
"yes 😫",1.0,0.0,0.0,0.4019,POS
"No cable, no Internet, then no electricity in Pinellas Park.
Wind is blowing very hard and lightning and thunder.",0.0,0.644,0.356,-0.7425,NEG
stay safe,0.744,0.256,0.0,0.4404,POS
"same in Disston Heights. Ugh.",0.0,0.588,0.412,-0.4215,NEG
Home surrounded by flooding.,0.0,1.0,0.0,0.0,NEU
ABC nope. Not us,0.0,1.0,0.0,0.0,NEU
"Confirmed tornado? Did it touch down?",0.0,1.0,0.0,0.0,NEU
"Just curious why I’m getting notifications for something that happened six days ago",0.161,0.839,0.0,0.3182,POS
I’ve lost track,0.0,0.465,0.535,-0.3182,NEG
No power here in Lansbrook,0.0,0.645,0.355,-0.296,NEG
"Dont click on Riki",0.0,1.0,0.0,0.0,NEU
report it,0.0,1.0,0.0,0.0,NEU
