A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
We just had a sighting of a tornado here in Alachua County. Weather getting very rough outside!,0.0,1.0,0.0,0.0,NEU
what are you watching for our area? Are you watching live? Everything I am finding is south of us.,0.0,1.0,0.0,0.0,NEU
"I'm following the FB page for Alachua County, Alachua County Emergency Management, and Meteorologist Bradley Benoit (local WCJB meteorologist).",0.0,0.874,0.126,-0.3818,NEG
where. At?,0.0,1.0,0.0,0.0,NEU
"They are saying the area of Orange Heights, Melrose. Meteorologist Bradley Benoit said there were other possible tornado sightings in Bradford and Union County.",0.0,1.0,0.0,0.0,NEU
"Prayers for everyone , from Pompano Beach
We were lucky this time!",0.236,0.764,0.0,0.4753,POS
"Thanks, Denis, for including other parts of the state, not just Tampa. Lots of us look to you even though we're in other areas. I'm on the east coast in Martin County, but I'm worried about my daughter in Tallahassee.",0.046,0.889,0.065,-0.2144,NEG
praying for your daughter God got his arms rapped around her. Blocking any danger that comes to her. Pray and trust in God,0.359,0.466,0.175,0.6486,POS
"I'm in Pensacola,guess I miss this one.",0.0,0.758,0.242,-0.1531,NEG
Over here in Brevard had trailers in an RV Park at 520 & I95 blown over.,0.0,1.0,0.0,0.0,NEU
"It was scary wind just west of srq airport… now it’s calm",0.148,0.645,0.206,-0.2263,NEG
"Winds are blowing it does remind me of wacky storms we have.., but it’s lasting with rain for hours. Blessed not a hurricane.",0.203,0.797,0.0,0.7469,POS
"Pretty strong band just came through Hudson. Not sure what the speed of
The wind gusts but they were pretty strong",0.426,0.525,0.049,0.9103,POS
"This trench is about 3-4 feet deep. It was dry last week. Dunedin, FL",0.0,1.0,0.0,0.0,NEU
I’m moving down there at the end of the week. Welcome to Florida I guess😳,0.188,0.812,0.0,0.4588,POS
"it will be gone by then",0.0,1.0,0.0,0.0,NEU
But more to come,0.0,1.0,0.0,0.0,NEU
"I agree with you Denis Phillips come interrupt my show anytime, like you said if it got bad and peoples lives were lost because you didn't you would never live it down.
So people understand its for your safety even if nothing happens, I lived in Alabama and right behind my place was Sand Mountain and the tornado went past my place but hit up the mountain from my house total devastation it was horrible to see, they call it tornado alley SO CALM DOWN",0.111,0.747,0.142,-0.4699,NEG
"Power out in Tyrone
High gusts",0.0,1.0,0.0,0.0,NEU
"Hope all will be safe from any tornadoes or flooding.",0.42,0.58,0.0,0.7003,POS
I hate bad weather at nite I hate bad weather anyway,0.0,0.258,0.742,-0.9371,NEG
Prayers for our Florida,0.0,1.0,0.0,0.0,NEU
🙏 and for the rest of hurricane season.. It's so active and it just started .. yikes,0.189,0.811,0.0,0.541,POS
oh yes and there's one behind miss Debby . I can't wait until November.,0.189,0.699,0.112,0.2732,POS
