A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
North Lakeland has strong gusts of wind and rain that woke me up. Thanks Dennis for keeping us informed.,0.267,0.733,0.0,0.7351,POS
yes it was pretty bad here,0.476,0.242,0.282,0.34,POS
"Pasco near Mirada… we have sustained wind and then pretty gnarly wind gusts. And the rain… SOOO MUCH. It will be still and quiet for a few minutes and then start whipping around out there again.
It’s not bad, but I wasn’t thinking it would be this strong here.",0.175,0.825,0.0,0.8533,POS
"Canals on Alafia in Riverview are flooding. Hopefully it'll stay out of the houses.",0.172,0.828,0.0,0.4019,POS
It’s been raining here in Venice since 8am. The winds and storms just woke me up.,0.0,1.0,0.0,0.0,NEU
me too,0.0,1.0,0.0,0.0,NEU
it was definitely a strong tropical storm. I had an appointment today that was even canceled,0.333,0.667,0.0,0.7184,POS
"My dog just woke up and started barking. She never does that at night. In Lithia and getting a little thunder. Can’t sleep either.",0.0,1.0,0.0,0.0,NEU
we are awake too,0.0,1.0,0.0,0.0,NEU
"Thank you for all real and level headed updates Dan. You are a rare gem in your line of work. I know these few months are your ""active"" time at work, I hope you are getting proper rest and nutrition. Love from my family to yours ❤️",0.19,0.81,0.0,0.8625,POS
"Just woke up. Wind is strong, lots of rain and lightning in Lithia.",0.216,0.784,0.0,0.5106,POS
"I have family there",0.0,1.0,0.0,0.0,NEU
same here in Valrico and we lost power.,0.0,0.753,0.247,-0.3182,NEG
"I am getting tried of tornado warnings and watch’s. I saw Twister today, good day, . Those tornado were awesome, not in real life.",0.257,0.662,0.081,0.7003,POS
"Really hoping the flooding starts to go down near Riviera Bay. Water is deep in front yard, but hasn’t reached inside our home yet.",0.142,0.858,0.0,0.3912,POS
"Look at historical flooding data and elevation maps of the area. I grew up in this area, its gorgeous as its by water, but zone A. Good luck!",0.307,0.693,0.0,0.892,POS
how’s it going at your place?,0.0,1.0,0.0,0.0,NEU
"Please keep us posted. Eerie in Apollo Beach, can’t sleep. Feels like it got much hotter outside as well! Thank you for your awesome coverage, as always!",0.375,0.559,0.067,0.8906,POS
I am going to start thinking you have a little crush on the weather dude baby.,0.0,0.909,0.091,-0.079,NEG
He does help to keep us safe. 👀🤣,0.483,0.517,0.0,0.6808,POS
omg I love it 😂,0.677,0.323,0.0,0.6369,POS
can't sleep here either. Especially when the alerts keep going off,0.0,1.0,0.0,0.0,NEU
"oh yea I live in wimauma",0.0,1.0,0.0,0.0,NEU
Lakewood Ranch just lost power.,0.0,0.635,0.365,-0.3182,NEG
"Summerfield crest, no power 😭",0.0,0.577,0.423,-0.296,NEG
"Peace River or FPL?",0.538,0.462,0.0,0.5423,POS
summerfield glades no power,0.0,0.577,0.423,-0.296,NEG
I’m in summer field and have power,0.0,1.0,0.0,0.0,NEU
"Will this head to Orlando? Brit flying in from England, due to arrive at 7pm",0.0,1.0,0.0,0.0,NEU
storm will be well to the north by then. You should be fine flying into Orlando.,0.218,0.782,0.0,0.4404,POS
"what about at 1pm? I'm arriving at 1 pm.",0.0,1.0,0.0,0.0,NEU
I'm no weatherman but almost certainly not. Orlando has had it very easy with this storm.,0.323,0.603,0.074,0.7469,POS
thanks!,1.0,0.0,0.0,0.4926,POS
Might get a little rain worst case,0.0,0.567,0.433,-0.5888,NEG
"us Brits can’t have no idea what real wind and rain is compared to you guys, hope everyone stays safe",0.232,0.68,0.088,0.5574,POS
"I'm from Las Vegas originally, lived here less than 2 years, have had a couple hurricanes and didn't know what to expect so I'm learning haha. Tornados seem to be sticking to the southwest of FL. Also, really hope you enjoy your visit over here!",0.203,0.797,0.0,0.881,POS
"Thanks, hopefully the weather gets better!",0.746,0.254,0.0,0.8313,POS
At around 1am it got windier in Parrish than it was all day.,0.0,1.0,0.0,0.0,NEU
It's getting crazy here the wind is blowing rain Is falling thunder ⛈️ 🌬️,0.0,0.75,0.25,-0.4588,NEG
"we've been going thru that since about 10 am yesterday. In Seminole, south of Clearwater, on the beach. Very high winds, and probably at least 10"" of rain. It's still ripping pretty good out there, lost power at 11 pm. Just came back on, hoping it stays on. I hope it's not too bad for you for very long.. the storm is closer to landfall in big bend, so it's slowly pulling away 🤞",0.177,0.796,0.028,0.9072,POS
"Pinellas park here. We lost power around 10:30 and it’s still out. I’m ready for this to be over",0.115,0.78,0.106,0.0516,POS
Thanks for your constant updated all night long Denis 😀,0.266,0.734,0.0,0.4404,POS
🙏,0.0,0.0,0.0,0.0,NEU
"This is where I’m at palmetto/ parish",0.0,1.0,0.0,0.0,NEU
Thanks for the updates 🙏🏼everyone is safe.,0.537,0.463,0.0,0.7003,POS
Lakeland and my power is officially out haha,0.3,0.7,0.0,0.4588,POS
"Thank you for all your updates, Denis!",0.318,0.682,0.0,0.4199,POS
Have you slept at all? Wind/thunder in Lake Alfred has been pretty loud the last hour or so .,0.158,0.842,0.0,0.4939,POS
Wow when the eye has moved so far away why is that area still getting hammered with tornado warnings and nowhere else ?,0.146,0.769,0.085,0.3818,POS
there's one big band that's just kind of sitting right on top of us and very slowly moving inland. It's why we've had a flash flood warning since 5pm yesterday (currently going through 5am today),0.05,0.884,0.066,-0.1531,NEG
looks like it’s going to get worse even 😫,0.216,0.517,0.267,-0.1531,NEG
"it’s the nasty side of the storm",0.0,0.625,0.375,-0.5574,NEG
"it's been all day .. same spot",0.0,1.0,0.0,0.0,NEU
Denis Phillips centre lake is flooded we are trying to leave with 4 dogs we have no place to go,0.0,0.833,0.167,-0.34,NEG
"🙏🙏 Father God, asking you to supernaturally intervene and give them divine wisdom guidance direction discernment and protection to leave in their vehicle. In your name Jesus, Amen. 🙏🛐🛐🙏",0.258,0.708,0.034,0.836,POS
"🙏🏻🙏🏻",0.0,1.0,0.0,0.0,NEU
A month ago people wanted a tropical storm.,0.0,1.0,0.0,0.0,NEU
Hope you’re ok Claire xxx,0.63,0.37,0.0,0.6249,POS
Man they have had so many down there,0.0,1.0,0.0,0.0,NEU
"it's been so bad here, all day. It's crazy, flooding is terrible too",0.0,0.5,0.5,-0.8747,NEG
The future radar looks like the storm will get bigger….too much water! We need to rain to stop! I’m not at rule #7 but when water starts coming in I might….,0.073,0.877,0.05,0.1862,POS
"Thank you for keeping us informed!",0.358,0.642,0.0,0.4199,POS
"I am sure we have had over Ten inches in rain already here in north Sarasota near University Parkway coastal area and now this ""Loudly"" woke me up at 2:30am.....we are bordered by a creek that goes into Whittaker Bayou and then the Sarasota Bay---hoping we do not surround with flood waters like the last recent storm that walloped us from The Sunshine Skyway....sigh. So sorry for where this crawling storm ""sits"" it will be so very very devastating.....😑",0.097,0.884,0.019,0.7512,POS
"🙏🛐🛐🙏 Praying for Father God to intervene. I don't think Debby is going to stall out like she was originally forecasted to. How is your property, street and yard doing?. I'm VERY sorry to hear that you lost everything in your art 🎙️ from the last flood. When is it supposed to stop raining there? After Debby makes landfall?? 🙏🙏",0.103,0.757,0.14,-0.3582,NEG
"I'm over on the east coast of Florida in East Central Florida in Port Orange, just south of Daytona Beach. We aren't expected to deal with much, except the possibility of tornadoes this afternoon and evening. 🙏🙏",0.0,1.0,0.0,0.0,NEU
