A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
"I’m just happy it’s not continuous heavy downpours and we are getting breaks to allow the rain to soak in or drain, hopefully minimizing flooding.",0.274,0.726,0.0,0.8074,POS
absolutely agree!,0.755,0.245,0.0,0.474,POS
"To close for comfort! Yikes 😳
🙏 everyone stays safe & are prepared.",0.52,0.48,0.0,0.7644,POS
Those ladies running the show now are absolutely brutal. I had to change it.,0.0,0.732,0.268,-0.659,NEG
🙏,0.0,0.0,0.0,0.0,NEU
Wind picking up with a little rain in Ruskin,0.0,1.0,0.0,0.0,NEU
🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
Rain just started in Thonotosassa,0.0,1.0,0.0,0.0,NEU
No rain in Lakeland yet,0.0,0.645,0.355,-0.296,NEG
A very sad detail of the incident was recorded by an eyewitness 🏻 uns.wiki/0cky2,0.0,0.764,0.236,-0.5256,NEG
Light rain and getting windy in Sun City Center,0.0,1.0,0.0,0.0,NEU
Hope you are safe,0.744,0.256,0.0,0.7003,POS
it's not in my area,0.0,1.0,0.0,0.0,NEU
🙏🏻🙏🏻🙏🏻🙏🏻,0.0,1.0,0.0,0.0,NEU
Be safe out there. I'll be here just dominating this old school classic.,0.18,0.683,0.137,0.1779,POS
I needed this hahaha stay safe !,0.694,0.306,0.0,0.7777,POS
During our church service we received a life threatening flood warning. Is for Largo today?,0.0,0.674,0.326,-0.7003,NEG
"No wind no rain in dunedin",0.0,0.476,0.524,-0.5267,NEG
it's coming big time,0.0,1.0,0.0,0.0,NEU
Banding wind and rain in Valrico,0.0,1.0,0.0,0.0,NEU
"Is Directv still boycotting ABC local channels?
🙄",0.0,0.69,0.31,-0.4019,NEG
I'm curious how tall the bands are?,0.277,0.723,0.0,0.3182,POS
"Denis Phillips Pasco sent us a Tornado watch too 😩
This really scares me!!",0.0,0.77,0.23,-0.5068,NEG
"just a WATCH tho, not a warning👍🏼",0.0,1.0,0.0,0.0,NEU
still scary… specially with all the rain of the last couple of days… we have many trees around.,0.0,1.0,0.0,0.0,NEU
this your first hurricane season?,0.0,1.0,0.0,0.0,NEU
"lol nope… I have lived my entire life around these",0.259,0.741,0.0,0.4215,POS
thank you,0.714,0.286,0.0,0.3612,POS
