A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
Watching your station right now.,0.0,1.0,0.0,0.0,NEU
This was in the north side of Lake Wales around 1pm today.,0.0,1.0,0.0,0.0,NEU
Very heavy rain and wind in Kenneth City,0.0,1.0,0.0,0.0,NEU
That spot seems to be prime for it. Several warnings there.,0.0,0.82,0.18,-0.296,NEG
HOW IS IT IN FT MYERS HAVE A SON THERE ?,0.0,1.0,0.0,0.0,NEU
"he will be just fine",0.31,0.69,0.0,0.2023,POS
where is this?,0.0,1.0,0.0,0.0,NEU
where is this?,0.0,1.0,0.0,0.0,NEU
downtown,0.0,1.0,0.0,0.0,NEU
what town?,0.0,1.0,0.0,0.0,NEU
Ft. Meyers. The post is about Ft. Meyers,0.0,1.0,0.0,0.0,NEU
"destroyed, no one is alive in Ft Myers",0.2,0.385,0.415,-0.4215,NEG
jerk,0.0,0.0,1.0,-0.34,NEG
why would you say that? So disrespectful!! 😡,0.0,1.0,0.0,0.0,NEU
Thank u so nice of u !,0.746,0.254,0.0,0.7082,POS
