A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
"Everyone be safe, wherever you are in Florida!",0.313,0.687,0.0,0.4926,POS
"Getting soggy in Zephyrhills but hanging tough ... rain and some wind",0.0,0.863,0.137,-0.1901,NEG
So far my parents are doing well in West Bradenton! They're under a flash flood warning but fortunately drainage around them is pretty good!,0.332,0.613,0.055,0.8619,POS
It’s wild- this is in NRB,0.0,1.0,0.0,0.0,NEU
Having fun in our shelter,0.452,0.548,0.0,0.5106,POS
i’m in my bathroom with my 2 dogs right now !,0.0,1.0,0.0,0.0,NEU
"That bad? What area?",0.0,0.437,0.563,-0.594,NEG
we were in the cone for one of the late night tornadoes ones over LWR. Only spent 30 mins in there when it was literally tracking over our ranxh,0.0,1.0,0.0,0.0,NEU
Just came in from walking my pup….the ground is like walking on sponges! So much rain!,0.171,0.829,0.0,0.4738,POS
Wind has picked up,0.0,1.0,0.0,0.0,NEU
1.10” of rain in Land O Lakes all day. Winds picking up more now and so are the stronger bands. Humidity is really high and feels much warmer due to the winds coming from the south.,0.133,0.867,0.0,0.6204,POS
"As far as a tornado shelter in the house goes, which would be a better option?
We live in a concrete block -one story single family home.
1) The master closet is against an outer wall of concrete block.
2) The most inner room with no windows is the utility room, but it is just drywall and opens to house and garage.
TIA",0.11,0.809,0.081,0.6123,POS
We're new to the area and were told you are the go-to weather guy. Thanks for keeping it real.,0.139,0.861,0.0,0.4404,POS
Thank you because the play by play was great guidance. We are east of 75 and route 70. We were in the closet!,0.381,0.619,0.0,0.8932,POS
"That was for us in Gulf gate area of Sarasota. Good lord it's been really bad here",0.134,0.691,0.175,-0.2247,NEG
my parents were in their pool in GG 😬,0.295,0.705,0.0,0.4466,POS
"just got a warning here in Bay Pines our lake at bottom entrance is flooding",0.0,0.844,0.156,-0.34,NEG
"Do Not Open “Police published footage…”
Spyware
Will attach to your phone",0.0,1.0,0.0,0.0,NEU
It looks like from the radar returns that Debbie is tracking more of a North Northeast direction and making a beeline for cedar key or just north of there,0.088,0.912,0.0,0.3612,POS
I thought the same thing,0.0,1.0,0.0,0.0,NEU
I thought so too,0.0,1.0,0.0,0.0,NEU
Yes there has been a wobble NE off it's previous track.,0.231,0.769,0.0,0.4019,POS
according to Denis Phillips he said it is just a wobble. It's not going to make a hard right turn. He's the expert. It just looked like a pretty big wobble to be.,0.167,0.792,0.041,0.6486,POS
"Were flooded in Largo, just south of Ulmerton.",0.0,1.0,0.0,0.0,NEU
Was there a tornado in Seminole?,0.0,1.0,0.0,0.0,NEU
i saw a car trapped in what looked like the parking lot of seminole bowling alley that flooded maybe? Not sure about wind,0.097,0.696,0.207,-0.4333,NEG
thanks yes saw that too! Crazy! Saw in another group there was a possible tornado near park blvd and ridge rd.,0.242,0.664,0.094,0.5837,POS
yikes!!! Stay safe out there!,0.504,0.496,0.0,0.6209,POS
you too!,0.0,1.0,0.0,0.0,NEU
"Yup, we live on Ridge rd and it was here a couple hours ago .. 🌪️",0.0,1.0,0.0,0.0,NEU
"hope all are well! We’re in Seminole all the way west on 86th Ave, lots of wind gusts!",0.259,0.741,0.0,0.6792,POS
"Near Waterset and Covington any recent update on the tornado",0.0,1.0,0.0,0.0,NEU
We have a walk in closet.,0.0,1.0,0.0,0.0,NEU
Waiting in NE Palmetto for possible tornado 😳,0.0,1.0,0.0,0.0,NEU
Power out in PPark again,0.0,1.0,0.0,0.0,NEU
Rule #7!,0.0,1.0,0.0,0.0,NEU
"The wind is howling!",0.0,1.0,0.0,0.0,NEU
"Massive lighting in the bluffs rn !!",0.0,1.0,0.0,0.0,NEU
Is the blue orb in the Tampa area the studio’s radar location?,0.0,1.0,0.0,0.0,NEU
Didn’t center jump ship again???,0.0,1.0,0.0,0.0,NEU
"Tornado watches now extended till 6 am for Sarasota county?",0.0,1.0,0.0,0.0,NEU
🙏🏼,0.0,1.0,0.0,0.0,NEU
"You guys just stay on TV, somebody does not like it tell then to go to hell. Y'all are doing a very good job as usual. Denis and crew just the best!",0.186,0.652,0.162,0.2441,POS
agreed. Only one I trust. No hype,0.509,0.283,0.208,0.4939,POS
We are feeling it at Madeira Beach,0.2,0.8,0.0,0.128,POS
How important is the National Weather Service?,0.231,0.769,0.0,0.2023,POS
Tampa!! 🏴‍☠️🏴‍☠️🏴‍☠️,0.0,1.0,0.0,0.0,NEU
Someone send this man some Dr Pepper stat!,0.0,1.0,0.0,0.0,NEU
What’s worse? A watch or Warning.,0.0,0.353,0.647,-0.6705,NEG
warning...means the threat is imminent,0.0,0.541,0.459,-0.5267,NEG
"Warning is worse!!!",0.0,0.136,0.864,-0.7488,NEG
there is rotation indicated on the radar not that one has touched down,0.0,1.0,0.0,0.0,NEU
"Denis , you are our number one meteorologist! For 34 years. You explain weather storms hurricanes, floods, how they form, move. You put in 110 % in what you do. 🙏",0.056,0.944,0.0,0.1511,POS
😳🙏❤️💯,0.0,1.0,0.0,0.0,NEU
Still OK! But Thank You!,0.659,0.341,0.0,0.7004,POS
"OK, I'm ready for this to stop please. Clark Rd and I75.
It's unrelenting.
Time for a wine.",0.337,0.567,0.096,0.6739,POS
Can you be more specific?,0.0,1.0,0.0,0.0,NEU
Power Out ellenton 😭,0.0,1.0,0.0,0.0,NEU
"Where?.????????.??",0.0,1.0,0.0,0.0,NEU
look where the arrows point . It will tell you,0.0,1.0,0.0,0.0,NEU
you ok? Stay safe!,0.729,0.271,0.0,0.6588,POS
"ya just super windy and rainy!!! Thanks for asking love",0.619,0.313,0.068,0.9114,POS
"looks like it’s right over you!",0.358,0.642,0.0,0.4199,POS
