A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
"Thank you ,you prove over and over how much we mean to you .God bless you and your family.",0.316,0.684,0.0,0.7506,POS
"Lakewood ranch is just getting HAMMERED.
Will Not stop, we just keep getting fed rain and slapped, feed rain and slapped",0.086,0.914,0.0,0.2235,POS
same in Treasure Island. Relentless,0.531,0.469,0.0,0.34,POS
Same in mid-town Sarasota. We’ve been battling it all night.,0.0,0.811,0.189,-0.2732,NEG
"same in Parrish",0.0,1.0,0.0,0.0,NEU
Still crazy windy at this time in the morning. Unbelievable thanks for all the updates,0.246,0.628,0.126,0.3182,POS
It actually just quieted down here in the last 30 minutes (Parrish/Palmetto/Ellenton area). It was SO loud and now it's a lot quieter and way less windy.,0.0,1.0,0.0,0.0,NEU
Lakewood ranch has been getting slammed. Worst I’ve ever seen it since we lived here. Thank you for keeping us informed!!,0.095,0.726,0.179,-0.4912,NEG
Seems like more rain than IAN!!,0.381,0.619,0.0,0.4738,POS
absolutely! I wasn’t expecting this,0.0,1.0,0.0,0.0,NEU
definitely,1.0,0.0,0.0,0.4019,POS
Thank you Dennis for keeping us informed on what's going on in our area you're the best,0.309,0.691,0.0,0.7717,POS
"Forceful winds, rain during night...still continuing this morning...thankful we have power...",0.0,1.0,0.0,0.0,NEU
"New Port Richey is getting hammered.",0.0,1.0,0.0,0.0,NEU
yes. It's raining like crazy here still. Called into work since I drive to St Pete early from NPR.,0.23,0.664,0.106,0.4215,POS
I drive to Tampa. Waiting for my job to say stay home…. Wishful thinking.,0.0,1.0,0.0,0.0,NEU
"stay safe out there.",0.492,0.508,0.0,0.4404,POS
~~ Quiet and no rain at this moment in 580/McMullenB area.,0.0,0.82,0.18,-0.296,NEG
"It’s terrible in Bartow!",0.0,0.469,0.531,-0.5255,NEG
"I’ve made coffee enough for one, there’s none for tornado. 👋😂
Parrish here, I think that’s where you arrow points.",0.0,1.0,0.0,0.0,NEU
Thank you for your constant updates throughout this storm !! No sleep for you and your team !,0.164,0.729,0.107,0.2905,POS
"Are the warnings based off of radar indicated rotation?",0.0,0.784,0.216,-0.296,NEG
it's been steady rain and windy for several hours. Not extremely terrible though. I've been without power since 745 last night.,0.122,0.878,0.0,0.4158,POS
"sorry you’ve been without power but glad to hear it hasn’t been terrible! Up here though in TN, a warning is issued when rotation has been spotted and there’s very likely a tornado on the ground, sirens start going off and the weather stations track the path street by street urging people to get in their safe places and providing times for when the tornado may be tracking over them… I’ve seen dozens of warnings issued down there, but haven’t seen any coverage for them like the kind we get up here",0.108,0.756,0.136,-0.2528,NEG
"it's different here for sure. We don't get sirens, but get warning on our phones if you've set it up for them. And you can turn on news channels or radio for updates.",0.046,0.867,0.087,-0.3506,NEG
"Good morning Denis Phillips ..u must be exhausted 😩. Winds n rain are tremendous in holiday, no way I'm driving in this..school system is open.. crazy people, stay safe everyone 🙏",0.22,0.596,0.184,0.34,POS
Springhill area getting hammered with heavy rain and winds,0.0,1.0,0.0,0.0,NEU
"We got rough weather South of Bradley junction right now",0.0,1.0,0.0,0.0,NEU
getting hit hard here in duette,0.0,0.781,0.219,-0.1027,NEG
I know.,0.0,1.0,0.0,0.0,NEU
"we will probably be without electricity a long time",0.0,1.0,0.0,0.0,NEU
"bowling green getting pounded to right now..",0.0,1.0,0.0,0.0,NEU
"Lakewood ranch is just getting hammered!
Will Not stop, we just keep getting rain and slapped, rain and slapped!",0.121,0.879,0.0,0.3553,POS
"Is the Tampa International Airport still operating?",0.0,1.0,0.0,0.0,NEU
"our daughter just took off from Newark to Tampa, so looks like they are accepting inbounds (unless they divert back - they did that last night after getting halfway here) 🙏🏻",0.161,0.839,0.0,0.6573,POS
are you flying today,0.0,1.0,0.0,0.0,NEU
the airport is operating but flights will most likely be delayed or canceled. You have to check with the airlines themselves,0.0,0.879,0.121,-0.4109,NEG
This is really bad. I'm in Sunset Beach and this tree came down. Just got home from work.. The winds have been crazy all night,0.0,0.788,0.212,-0.7346,NEG
Been up all night. Parrish has been in a constant band for 24hrs! Crazy rain totals!,0.0,0.824,0.176,-0.4559,NEG
same. I have probably slept an hour total. Why does this seem so much worse than ian?,0.0,0.816,0.184,-0.5233,NEG
me too. And I just said the same thing about Ian. Our power finally went at 2am and turned the baby’s sound machine off so I could really hear it all then. It’s been crazy and I’m a floridian of 30 years lol,0.065,0.88,0.056,0.1027,POS
me too it has been awful. I agree rain feels so much worse than Ian!,0.124,0.545,0.331,-0.6334,NEG
It still isnot leaving Nokomis!!! Been here since yesterday morning at 7:30. Thundering more than ever.,0.0,1.0,0.0,0.0,NEU
"ABC Action News wasn’t telling me anything",0.0,1.0,0.0,0.0,NEU
"Went to sleep around 3am, woke up a few min ago at 5am and power out. As I was lighting candles, power back on. Brew coffee now!",0.0,1.0,0.0,0.0,NEU
I need a reliable weatherman for Marion County please!! I need to know what's going on here.,0.182,0.818,0.0,0.4374,POS
"I agree, we have nobody to listen to in marion county.",0.217,0.783,0.0,0.3612,POS
that's fine and dandy but knowing this area specifically would be great! An overall picture is not helpful.,0.29,0.592,0.118,0.6535,POS
"I use the live radar on my phone app and it’s really accurate. I’m in Ocala, and we should be clear of the bands in another hour. The wind will linger",0.082,0.918,0.0,0.3818,POS
"Is it even possible to get to 104 6th S street Bradenton from St. Pete, Clearwater airport ?",0.0,1.0,0.0,0.0,NEU
Long night no sleep thank you Denis Phillip you keep me from panicking alot,0.134,0.591,0.274,-0.3818,NEG
"Are we expecting the storm surge before, or after the storm passes by?",0.0,1.0,0.0,0.0,NEU
"It’s been crazy as hell in Valrico / Brandon near Dover. Lord have mercy.",0.128,0.513,0.359,-0.6705,NEG
"I hope you get some rest soon",0.367,0.633,0.0,0.4404,POS
"Morning ⛈️
Thank you for the updates",0.294,0.706,0.0,0.3612,POS
Lithia?,0.0,1.0,0.0,0.0,NEU
