A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
We had a big gust of wind here in Bradenton that blew out the cable again that's like the third time today and now it's not heavy wind,0.088,0.912,0.0,0.3612,POS
"but the RAIN here is insane the last couple of hours!",0.0,0.722,0.278,-0.5916,NEG
yes!,1.0,0.0,0.0,0.4574,POS
"Bradenton, Oneco area. Everytime i think I hear something outside I get more anxious!",0.0,0.795,0.205,-0.3788,NEG
I'm in west samoset and I'm freaking out !!!,0.0,0.685,0.315,-0.5684,NEG
God how long will it last I'm in Sarasota and its a non stop rain and wind,0.115,0.765,0.12,-0.0258,NEU
me too!! I need Noah’s Ark right now!!,0.0,1.0,0.0,0.0,NEU
"Sarasota is out of control!! This is worse than Ian! Get out of here Debby!!",0.0,0.766,0.234,-0.6449,NEG
I was thinking the same thing!!,0.0,1.0,0.0,0.0,NEU
"yes so true cuz it doesn't want to stop",0.552,0.36,0.088,0.755,POS
This is how my gazebo looked before this F storm,0.0,1.0,0.0,0.0,NEU
Did it get ruined? It’s so pretty,0.301,0.431,0.267,0.101,POS
welcome to tropical storms in hurricanes they can linger and take 8 to 12 hours to get out of here,0.143,0.857,0.0,0.4588,POS
I love Florida but not its storms,0.342,0.658,0.0,0.3818,POS
Does that include St Pete Beach?,0.0,1.0,0.0,0.0,NEU
windy windy windy on treasure island,0.306,0.694,0.0,0.296,POS
scary windy,0.0,0.238,0.762,-0.4939,NEG
no. This is the warning area,0.0,0.465,0.535,-0.5574,NEG
We are having them in Pinellas as well...just had one in Largo,0.0,1.0,0.0,0.0,NEU
there’s no warnings for that area is what I mean. No tornado warnings.,0.0,0.476,0.524,-0.7783,NEG
"The last tornado warning in Largo expired at 6:15pm, but the wind here sounds like a tornado😵‍💫",0.172,0.739,0.09,0.3716,POS
"no, it doesn't. This was for Manatee and Sarasota counties.",0.0,0.804,0.196,-0.296,NEG
thank you. I appreciate it. Oh dear it's going to be a long night! 😭,0.473,0.527,0.0,0.7959,POS
no. His picture literally points to where it is. Its not St Pete,0.0,0.845,0.155,-0.296,NEG
Very stormy here right now. This passed just east of us.,0.0,1.0,0.0,0.0,NEU
Thankful for protection! Channel 8 is live on YouTube and was tracking it from Clark to bee ridge to sarasota springs and Pincraft!! Just 10 minutes ago. Pray everyone is safe!! 🙏❤️,0.264,0.736,0.0,0.877,POS
Has now headed past fruitville road to meadows,0.0,1.0,0.0,0.0,NEU
Dunedin is insane right now,0.0,0.597,0.403,-0.4019,NEG
how?,0.0,1.0,0.0,0.0,NEU
"I'm waterfront Dunedin. Lightning, wind and normal rain, currently.",0.0,1.0,0.0,0.0,NEU
the wind inland is shaking the house,0.0,0.779,0.221,-0.1779,NEG
"Our house is a little bunker. However, I'm looking on cameras at house we also have on Bayshore Blvd in Tampa and wind seems strong there. High tide 1:53 am this morning for St Joseph Sound...the surge is most worrisome for me.",0.073,0.861,0.066,0.079,POS
it comes and goes over here. Be safe and hope ur place in tampa fairs the storm.,0.279,0.721,0.0,0.7003,POS
"I think we are good, off shore storm that causes surge has passed, some are getting hit by bans, I’m obviously in a pocket. weird storm.",0.109,0.827,0.064,0.296,POS
wind?,0.0,1.0,0.0,0.0,NEU
whole house is shaking lots of wind and rain,0.0,0.825,0.175,-0.1779,NEG
windy and rainy in Dunedin,0.0,0.755,0.245,-0.0772,NEG
That warning was right over my house! But didn’t hear the train noise. I am in my closet,0.0,0.889,0.111,-0.2481,NEG
"I learned a few years ago Thst a warning can also mean radar has determined it’s very favorable but it doesn’t mean it’s touched down. Years ago it was different. A warning used to mean it was actually spotted . ( back in the cave days I guess) Anyway , I’m in Desoto and watching live coverage on TV earlier and they were tracking the “ warning” area snd not one of them touched down luckily. Edit : I just remembered : “ Warning “ means it’s been detected on Radar.Thats probably safer than waiting till one hits the ground",0.122,0.798,0.08,0.6306,POS
🙏🙏🙏 for Ya,0.0,1.0,0.0,0.0,NEU
where are you,0.0,1.0,0.0,0.0,NEU
McIntosh/fruitville area,0.0,1.0,0.0,0.0,NEU
where are you located,0.0,1.0,0.0,0.0,NEU
Heard the freight train whistle sound of the Tornado in Colonial Oaks Sarasota...I didn't realize what it was until Denis described it a couple minutes after. Thankfully no sign of it effecting anything close by...weirdness sound I've ever heard in my life. Sounded like a young girl screaming,0.102,0.806,0.092,0.128,POS
"Crazy, strong winds in Parrish in Manatee County",0.282,0.513,0.205,0.2263,POS
"yes I’m here too scary in mobile home",0.227,0.504,0.269,-0.128,NEG
My job says we are to go to work tomorrow but I'm worried about the flooding on my street and US 19. I live near hudson and drive to holiday. Should I stay home or will it be flooded tomorrow at 9am? Thank you for being here for us ❤️,0.125,0.824,0.051,0.6124,POS
I need to drive to New Port Richey from Homosassa and was wondering the same.,0.0,1.0,0.0,0.0,NEU
you'll be fine,0.474,0.526,0.0,0.2023,POS
idk I was told rain will be 24 hours. My street is already flooded,0.0,0.896,0.104,-0.1027,NEG
"i’m in Seminole. the wind is verrry intense. electricity is out.",0.115,0.885,0.0,0.0772,POS
