A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
This storm is really packing a punch down here in Pinellas Point ... Winds and rain are really strong here now.,0.159,0.841,0.0,0.5563,POS
yes here in Gulfport - boats are beached and the pier has been badly damaged. The winds were way to strong for the anchor lines to hold out there. I'm curious what the highest wind gusts were...,0.183,0.684,0.132,0.3182,POS
we are just north of skyway bridge exit and the winds here were 75 mph last night. Crazy!,0.0,0.863,0.137,-0.4003,NEG
I kept hearing 40 mph winds on the news...that wasn't even close to what we were getting on the ground. Seems odd they didn't close the skyway much sooner. It has to be treacherous our on top of that bridge.,0.044,0.9,0.056,-0.128,NEG
"It is the same in west St. Petersburg, too. I was just outside and the winds are very high, gusting to the 800- 100 m. p. h. above 100 feet above ground. I estimate. Wow!",0.113,0.887,0.0,0.6239,POS
Winds / rain so much stronger in Williston. My poor horses!,0.202,0.561,0.238,-0.1315,NEG
"Can’t sleep with this weather, stay safe everyone",0.293,0.707,0.0,0.4404,POS
neither can I. 🙃,0.0,1.0,0.0,0.0,NEU
me either all this wind and rain one of my awning fell down now it's banging against my trailer,0.0,1.0,0.0,0.0,NEU
I know. 😔,0.0,1.0,0.0,0.0,NEU
"my husband is asleep but not I.",0.0,1.0,0.0,0.0,NEU
"same. Snoring away...lol",0.0,1.0,0.0,0.0,NEU
"and no electric as of 10 minutes ago.",0.0,0.761,0.239,-0.296,NEG
same here.,0.0,1.0,0.0,0.0,NEU
oh no. Be safe.,0.408,0.282,0.31,0.1779,POS
"Thanks, grateful for solar/rechargeable phone charger, lamps, and lantern.",0.457,0.543,0.0,0.7096,POS
I’m sorry!,0.0,0.386,0.614,-0.1511,NEG
"Manatee/Sarasota county hasn’t stopped with tornando warnings today",0.0,0.594,0.406,-0.4767,NEG
truth!!,1.0,0.0,0.0,0.4374,POS
must be close to 10 today!,0.0,1.0,0.0,0.0,NEU
This is the longest storm I’ve been through in years it’s never ending. It’s been raining since early Sunday morning. Any idea when it’s suppose to end? The tornado and flood warnings are just as endless. I sure hope everyone is safe. Looking forward to this one being over,0.149,0.81,0.041,0.7096,POS
"I hate tornado warnings, especially at night!",0.0,0.392,0.608,-0.7345,NEG
"yea it woke me up in
Palmetto 😌",0.0,1.0,0.0,0.0,NEU
I just got one for flash flooding,0.0,1.0,0.0,0.0,NEU
"me too
Wide ⏰ awake",0.0,1.0,0.0,0.0,NEU
im definitely gonna be up keeping an eye on everything. I can’t sleep through the storms lol,0.282,0.718,0.0,0.6705,POS
"A couple of lightning strikes were too close for comfort. One flashed in my kitchen, lifted me off of my sofa, and blew some breakers. I’m a Florida native and survived Andrew’s wrath, but this one is different than any I can remember. Stay safe, everyone.",0.16,0.804,0.036,0.7184,POS
are you saying you think this is comparable to Andrew?,0.0,1.0,0.0,0.0,NEU
no,0.0,0.0,1.0,-0.296,NEG
"Not at all. It’s different than any I can remember. Andrew devastated everything in its path with horrible winds. This frequent lightning is what seems a bit unusual.",0.0,0.762,0.238,-0.8176,NEG
"gotcha. I misunderstood the wording.
We're getting lightning now and I too thought it was odd before I saw your reply so I get what you mean.",0.0,0.817,0.183,-0.5719,NEG
I know they are nowhere near the same. Thanks though.,0.266,0.734,0.0,0.4404,POS
You are the best Denis Phillips!,0.473,0.527,0.0,0.6696,POS
Just heard pops,0.0,1.0,0.0,0.0,NEU
That area has been active today,0.351,0.649,0.0,0.4019,POS
"Stay safe, Denis Phillips and everyone everyone being affected by this storm.
Thanks for keeping us updated, Denis and crew. We greatly appreciate y'all!",0.296,0.652,0.052,0.8169,POS
How is Fort Lauderdale looking this evening? Flight landed in Miami trying to drive to Fort Lauderdale. Should we wait until tomorrow or is it safe?,0.115,0.885,0.0,0.504,POS
"there's nothing happening in FLL/MIA. This storm is on the west coast, not the east.",0.0,1.0,0.0,0.0,NEU
that's happening over here on our side (west coast) of the state. Miami radar is basically completely clear.,0.145,0.855,0.0,0.4391,POS
