A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
Everyone stay safe,0.592,0.408,0.0,0.4404,POS
"Our area?
Safety Harbor tornado warning",0.304,0.435,0.261,0.1027,POS
When you say that does that mean that’s exclusively where the tornado warning is or does that system move with the bands of rain and will be over our Pinellas County area?,0.0,0.928,0.072,-0.34,NEG
Tornado warning in port Richey right now,0.0,0.714,0.286,-0.34,NEG
I dont see that anywhere,0.0,1.0,0.0,0.0,NEU
watch,0.0,1.0,0.0,0.0,NEU
Lots of heavy rain here in Countryside. Stay safe everyone. Especially in coastal areas.,0.182,0.818,0.0,0.4404,POS
I am in Holmes Beach-my yard & driveway-high tide in an hour.,0.0,1.0,0.0,0.0,NEU
Lots of heavy rain in Palm Harbor,0.0,1.0,0.0,0.0,NEU
my kitties have the same scratching/lounge posts 😻,0.0,1.0,0.0,0.0,NEU
"she loves it! At first, I thought it was too expensive! Glad I purchased it as the best $40 I ever spent",0.418,0.582,0.0,0.9097,POS
beautiful kitty!,0.807,0.193,0.0,0.636,POS
thank you 😊,0.714,0.286,0.0,0.3612,POS
"Heavy rain in Englewood.",0.0,1.0,0.0,0.0,NEU
"✈️
Flights have started being diverted until it’s clear to land in the St. Pete-Tampa area",0.148,0.852,0.0,0.3818,POS
Any rainfall totals ?,0.0,1.0,0.0,0.0,NEU
What happened in Sebring ??,0.0,1.0,0.0,0.0,NEU
"When do you go live? The B team is not cutting it 🤣",0.12,0.88,0.0,0.0951,POS
On and off rain and winds in Sarasota. Going back to school tomorrow is going to interesting for us teachers.,0.124,0.876,0.0,0.4019,POS
Stay safe!,0.761,0.239,0.0,0.4926,POS
Stay safe. 🙏,0.744,0.256,0.0,0.4404,POS
And a CMAS/WEA Alert was issued just this minute for the NWS storm surge warning for the area.,0.112,0.765,0.122,-0.0516,NEG
Nothing going on in Sarasota,0.0,1.0,0.0,0.0,NEU
We need you live on fb please,0.277,0.723,0.0,0.3182,POS
Liquid sunshine,0.762,0.238,0.0,0.4939,POS
"Are we still in a drought? Can I start watering my lawn?",0.0,1.0,0.0,0.0,NEU
only on your water day 😆,0.0,1.0,0.0,0.0,NEU
What happed to ABC action news?,0.0,1.0,0.0,0.0,NEU
lost signal..not back yet...,0.0,0.566,0.434,-0.3182,NEG
Stay safe!!,0.777,0.223,0.0,0.5399,POS
how ya doing? ,0.0,1.0,0.0,0.0,NEU
