A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
I'm on booker ave Sarasota and whole house is flooded whole neighborhood under water,0.0,1.0,0.0,0.0,NEU
any flooding near 301 university blvd??,0.0,1.0,0.0,0.0,NEU
yes all by the Dollar general some roads are closed we can't even go that way,0.153,0.847,0.0,0.4019,POS
"Where do I find that weather alert app and what is the name of it?",0.145,0.855,0.0,0.296,POS
it’s called storm shield,0.0,1.0,0.0,0.0,NEU
"okay do I find it in the Play Store",0.417,0.583,0.0,0.5106,POS
"Don't know if you found it, but I just looked on my APP thing on my iPhone and found it there. I had to disable it because the alerts scared me senseless... 😂",0.0,0.883,0.117,-0.5927,NEG
I found it thanks just heard an alert I'd rather have that than nothing though.,0.298,0.702,0.0,0.6249,POS
Okay. Glad you found it. ✌️,0.551,0.449,0.0,0.5994,POS
Can you please contact HCPS superintendent and tell him it’s not safe for thousands of teachers to be on the roads this morning?,0.089,0.817,0.094,-0.0274,NEU
"I'm sorry 😞 to hear this, no personal time left, it's legally not sick time, crazy",0.308,0.502,0.191,0.3265,POS
yes - this is ridiculous,0.375,0.278,0.347,0.0516,POS
"same 4 pinellas, I'm not taking the risk n driving in this .",0.168,0.832,0.0,0.2057,POS
I wouldn't go. Bs,0.0,1.0,0.0,0.0,NEU
Most Employers are open today and employees have work or take PTO. School teachers should not expect anything different!,0.0,1.0,0.0,0.0,NEU
agree st pete under water too a person i know works with someone who actually drove from there and the water was up to the hood - now car not running - i cant get to work no buses running,0.066,0.875,0.058,0.0772,POS
Prayers,0.0,1.0,0.0,0.0,NEU
Manatee and hillsbough,0.0,1.0,0.0,0.0,NEU
Plant city??,0.0,1.0,0.0,0.0,NEU
"Prayers for all in the path of Debby, Amen",0.0,1.0,0.0,0.0,NEU
"Praying",1.0,0.0,0.0,0.3612,POS
Is Bayshore open this morning?,0.0,1.0,0.0,0.0,NEU
"NPR getting hit again in the last 10 mins.",0.0,1.0,0.0,0.0,NEU
