A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
Tornados is the part I hate about this weather 😳,0.0,0.654,0.346,-0.5719,NEG
exactly,0.0,1.0,0.0,0.0,NEU
snow storms don’t seem so bad!😳,0.0,1.0,0.0,0.0,NEU
I guess not😂,0.0,1.0,0.0,0.0,NEU
same here.,0.0,1.0,0.0,0.0,NEU
"The eye on radar looks east of the track, does it not?",0.0,1.0,0.0,0.0,NEU
"Prayers for safety, Donna! 🙏",0.508,0.492,0.0,0.4753,POS
The eye has been riding the east coast of the track and actually turned a bit east. 30 miles east. Wondering if we will get rougher rain.,0.0,1.0,0.0,0.0,NEU
Which is a warning? We have the ingredients for tacos or tacos have been made? I always get confused.,0.0,0.748,0.252,-0.6199,NEG
"thank you. Now I need to apologize to my son for him being right and me, well, not.",0.3,0.7,0.0,0.6124,POS
.. my mother always said 'watch for the warning' .. only way I can remember.,0.0,0.844,0.156,-0.34,NEG
"watch is looking for a tornado, warning is one has been detected",0.0,0.806,0.194,-0.34,NEG
"warning is imminent threat, take cover find your safe spot",0.185,0.446,0.369,-0.4404,NEG
"watch = ingredients
Warning = made",0.0,0.556,0.444,-0.34,NEG
"Um, if the cable or power is out........",0.0,1.0,0.0,0.0,NEU
"What about hightland county florida",0.0,1.0,0.0,0.0,NEU
How long will we see these winds and rain in Treasure Island,0.167,0.833,0.0,0.296,POS
"Keep us updated in citrus County and Dunnellon. Thank you",0.217,0.783,0.0,0.3612,POS
"What is that?",0.0,1.0,0.0,0.0,NEU
yep yep,1.0,0.0,0.0,0.5267,POS
Stay safe everyone,0.592,0.408,0.0,0.4404,POS
What do you have for North Port area?,0.0,1.0,0.0,0.0,NEU
"“Take shelter in your basement “ said no Floridian ever!",0.0,0.762,0.238,-0.3595,NEG
Watching your station. Hopefully no tornadoes touch down. Winds are wicked out there.,0.148,0.546,0.306,-0.4404,NEG
"Bring it ! I need some excitement!",0.486,0.514,0.0,0.5837,POS
"go sky diving, bungee jumping or really high zip lining and leave the rest of us out of this.",0.067,0.872,0.062,0.0258,NEU
In-laws in largo said this is nothing. Maybe they want bigger.,0.0,0.891,0.109,-0.0572,NEG
"Down Town Port Charlotte/ Punta Gorda.",0.0,1.0,0.0,0.0,NEU
"Daughter in Tampa says this guy is the best weather person to follow.",0.259,0.741,0.0,0.6369,POS
Denis is the MAN! My weatherman for well over 20 years,0.193,0.807,0.0,0.3382,POS
absolutely,0.0,1.0,0.0,0.0,NEU
"no doubt",0.0,0.0,1.0,-0.5719,NEG
he is. He has a straightforward delivery that is actually calming. He’s not about hype and when it’s not hurricane season he’s about making us laugh.,0.215,0.785,0.0,0.743,POS
he is..,0.0,1.0,0.0,0.0,NEU
he is,0.0,1.0,0.0,0.0,NEU
"We had this in Lake Wales, thankfully it didn't touch down anywhere",0.203,0.797,0.0,0.4215,POS
Yikes!!!,0.0,1.0,0.0,0.0,NEU
Stay safe!!,0.777,0.223,0.0,0.5399,POS
Thankyou !,0.0,1.0,0.0,0.0,NEU
once again,0.0,1.0,0.0,0.0,NEU
