A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
My daughter just moved to Lakeland couple days ago,0.0,1.0,0.0,0.0,NEU
my daughter lives in Lakeland,0.0,1.0,0.0,0.0,NEU
Mine also!,0.0,1.0,0.0,0.0,NEU
wow,1.0,0.0,0.0,0.5859,POS
welcome. Lol,1.0,0.0,0.0,0.7003,POS
so what? Didn’t expect rain. Just wait until we get a real hurricane. Hurricane party begin.,0.162,0.838,0.0,0.4019,POS
I live in Dade City lived here over 30 years I expected more rain than what we got we didn't even get any thunder!,0.0,1.0,0.0,0.0,NEU
Watching right now.,0.0,1.0,0.0,0.0,NEU
of course you are.,0.0,1.0,0.0,0.0,NEU
I bet you are still watching.,0.0,1.0,0.0,0.0,NEU
I am. Fricking addicted to Denis Phillips and crew!🤣,0.0,1.0,0.0,0.0,NEU
About 25 minutes ago a big heavy rainstorm come by and I'm on route 44 just behind the speedway going to Wildwood right now it's just different invader stay safe may have some grapes,0.083,0.917,0.0,0.4404,POS
"Nothing in south Orlando and I think we are the only one's in Florida thar actually need the rain go figure,good luck",0.13,0.87,0.0,0.4588,POS
Pretty calm in the Gulf Harbors area… this might be all we get lol,0.43,0.57,0.0,0.8074,POS
Reed Timmer Extreme Meteorologist is chasing in our area now. Just did a video near Tampa,0.0,1.0,0.0,0.0,NEU
"hell you should team up with fox, they don’t have enough excitement they are putting up hurricane from 2022.",0.129,0.685,0.185,-0.34,NEG
Reed is heading to the storm. If you get bored watching Fox you can watch him live 😅,0.0,0.884,0.116,-0.2732,NEG
"nope I have the movies on , not a care in the world, while all the others are on the internet or glued to a t.v. . Talking 💩 and showing what happened 2 years ago and this is what they are showing live. Not a repeat. Because they have no deaths to report.",0.0,0.901,0.099,-0.5897,NEG
"I got no tornado warning alerts but I just noticed this and I am in lakeland 😬",0.0,0.769,0.231,-0.3182,NEG
"stay safe!!",0.777,0.223,0.0,0.5399,POS
"The alert was for Bartow I think, although the pic looks like it's for Lakeland.",0.281,0.719,0.0,0.5719,POS
same!,0.0,1.0,0.0,0.0,NEU
I am driving from Bartow to St Petersburg airport in the morning. Should I leave extra early?,0.0,0.921,0.079,-0.0516,NEG
We live in Holiday it's not even bad. Just a regular rainy day.,0.35,0.568,0.082,0.6428,POS
My friend just posted this from the Tarpon Sponge Docks. I would imagine it's from storm surge.,0.176,0.824,0.0,0.4939,POS
This is from August 4th??? Denis Phillips I'm getting old posts last few days,0.0,1.0,0.0,0.0,NEU
Still the calm before the storm in Spring Hill.,0.223,0.777,0.0,0.3182,POS
"man I hope we don't get hit again, have my flood gates up in Weeki",0.182,0.818,0.0,0.4404,POS
what storm. Lmfao.,0.636,0.364,0.0,0.5423,POS
Is this supposed to be a conversation?,0.0,1.0,0.0,0.0,NEU
the same way there is going to be a storm.,0.0,1.0,0.0,0.0,NEU
Whatever,0.0,1.0,0.0,0.0,NEU
"Just started to lightly rain in Homosassa Springs",0.0,1.0,0.0,0.0,NEU
Watching from Winter Haven,0.0,1.0,0.0,0.0,NEU
Heavy rain and winds in Venice. Prayers for everyone in Debbie's path. 🙏,0.0,1.0,0.0,0.0,NEU
lots of water flooding,0.0,1.0,0.0,0.0,NEU
..yes. Tornado watch till.8 . As long as we have power. 🙏 just showed the road going to Casperson beach is washed out. Lots of problems but we're lucky so far.,0.114,0.829,0.057,0.431,POS
"Riverview is getting hit with lots of rain and wind",0.0,1.0,0.0,0.0,NEU
Getting dark in Lakeland Highlands 😬,0.0,1.0,0.0,0.0,NEU
yes!,1.0,0.0,0.0,0.4574,POS
Raining and some winds in Lakeland,0.0,1.0,0.0,0.0,NEU
"I was driving home from work while this was going on 😯",0.0,1.0,0.0,0.0,NEU
🙏🏻🙏🏻🙏🏻,0.0,1.0,0.0,0.0,NEU
Rain slowing down in Citrus Park,0.0,1.0,0.0,0.0,NEU
your phone must still be going nuts!,0.0,0.698,0.302,-0.3802,NEG
"not really 😂 mostly just getting rain here",0.0,1.0,0.0,0.0,NEU
"Gray sky moving in",0.0,1.0,0.0,0.0,NEU
🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
🙏🙏🙏,0.0,1.0,0.0,0.0,NEU
Your ABC station isn’t addressing it.,0.0,1.0,0.0,0.0,NEU
"OR ERNESTO coming behind Deb",0.0,1.0,0.0,0.0,NEU
Denis I always get warning and watch mixed up. I’m basically right at the tip of where that arrow is pointing. Is there actual rotation?,0.0,0.906,0.094,-0.34,NEG
"warning is it touched down on land,watch is it’s favorable for forming a tunnel…",0.188,0.667,0.145,0.1779,POS
thank you. It was much easier to know when to be concerned when I lived in a state that had tornado sirens! You hear the sirens you take cover. Very simple.,0.172,0.828,0.0,0.68,POS
.. They will notify you also on your phone if it’s close. 🌹,0.0,1.0,0.0,0.0,NEU
This is great! Thank you! I figured I would get some kind of alert on my phone if there was cause for serious concern.,0.32,0.634,0.046,0.8312,POS
"Another way I learned it, warning has the letter R in it, as in this 💩 is happening, it is rated R! Time to adult, this is *war*. 😹😉",0.0,0.903,0.097,-0.4003,NEG
"Watch is to watch and see
Warning is it’s close",0.0,0.789,0.211,-0.34,NEG
When do you feel storm surge warning will pass for Anna Maria? The rain and wind I’m ok with. I’m vacationing with 2 teens and am trying not to panic,0.147,0.781,0.072,0.3616,POS
"look at NOAA for tide times as well.",0.231,0.769,0.0,0.2732,POS
I e been following NOAA religiiusly,0.0,1.0,0.0,0.0,NEU
"Why are these week old postings being reposted?",0.0,1.0,0.0,0.0,NEU
It's been raining on and off for the last few hours in holiday.,0.184,0.816,0.0,0.4019,POS
when that sound went off i nearly wet my granny panties.. ugh,0.0,0.781,0.219,-0.4215,NEG
you guys stay safe,0.492,0.508,0.0,0.4404,POS
Oh good,0.744,0.256,0.0,0.4404,POS
Mulberry/Lakeland here,0.0,1.0,0.0,0.0,NEU
Wish you included Marion County,0.403,0.597,0.0,0.4019,POS
"same for Sumter County 😩",0.0,1.0,0.0,0.0,NEU
Talk about Ernesto that is following Debby,0.0,1.0,0.0,0.0,NEU
Where is this,0.0,1.0,0.0,0.0,NEU
Lakeland area,0.0,1.0,0.0,0.0,NEU
"Thank you for update",0.455,0.545,0.0,0.3612,POS
"God bless everyone 💞🙏",0.71,0.29,0.0,0.5994,POS
😫,0.0,0.0,0.0,0.0,NEU
Yea hi Dennis ur the hambuger,0.0,1.0,0.0,0.0,NEU
😩,0.0,0.0,0.0,0.0,NEU
