A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
So worried I live in TN and my husband is in Brooksville. I’m so worried being far away. So Brooksville peeps please keep me posted hubby likes to down play things lol,0.261,0.617,0.123,0.6786,POS
I`m in Brooksville. We have had a little rain earlier but nothing now. It`s very calm here.,0.184,0.816,0.0,0.5251,POS
ok thank you. I hate being so far away😭he’s over by the Sam’s club/ Walmart off Cortez Blvd. praying you all don’t get it to bad. When I was out there visiting I was told it’s mostly the flooding that comes and issue,0.146,0.709,0.146,-0.25,NEG
You are very welcome. Heard we might be getting between 5-10 inches of rain. I know it has to be difficult being so far away!,0.128,0.783,0.089,0.2698,POS
well that’s a lots of inches hopefully it drains fast. I mean Florida is used to these type of storms. This is his first year out there so first big storm.,0.151,0.849,0.0,0.5859,POS
That is a lot of rain. 🙁,0.0,1.0,0.0,0.0,NEU
how’s everything going in your area? I hope it’s not to bad for you.,0.343,0.657,0.0,0.6956,POS
"Sorry I haven`t been on, just saw this. We had lots of rain and wind but we are good thanks 🙂. Have you talked to your husband? Praying he is good also!",0.357,0.616,0.027,0.9427,POS
"Be safe guys, remember you got a place to stay in GA if you need to",0.172,0.828,0.0,0.4404,POS
"Another great job , thanks for being the best in our times of need",0.528,0.472,0.0,0.9042,POS
Yeah probably like other stations in area are saying.. this will be case until 8pm,0.266,0.734,0.0,0.5719,POS
We need you on Facebook,0.0,1.0,0.0,0.0,NEU
Denis Phillips how woukd we know if one is in our area,0.0,1.0,0.0,0.0,NEU
get a NOAA weather radio. It will send you and ear piercing noise if there is an imminent threat at your home. We have one. It's been going off all morning.,0.0,0.895,0.105,-0.5267,NEG
ok thsnk you,0.524,0.476,0.0,0.296,POS
