"A Tornado Warning has been issued for parts of Hardee, DeSoto until Aug 04 1:30PM. Download the ABC Action News App for the latest weather information.",Pos,Neu,Neg,Compound,Overall Sentiment
"Denis Phillips I realize you mainly focus on Tampabay and its surrounding areas, as I've watched you when I lived in Tampa for as long as I can remember. However, up in Ocala we don't have our own news station. We get it out of Orlando, (which IMO), tends to embellish storms. It would be much appreciated if you could ever include Lady Lake/South Ocala.",0.051,0.949,0.0,0.5106,POS
"I could follow that too, as I live south of Ocala in Dunnellon.",0.0,1.0,0.0,0.0,NEU
"many could, being a lot of us relocated from his viewing area but remain not far from it.",0.0,1.0,0.0,0.0,NEU
"Question for you... I'm visiting Greenville SC, but driving back down to Parrish tomorrow. Would it be a better route to head to Atlanta and then down, or over to the coast and down. Storms are worse on the East side... right? So, that would mean take the Atlanta route?",0.07,0.849,0.081,-0.168,NEG
Denis Phillips meteorologist and travel agent extraordinaire.,0.0,1.0,0.0,0.0,NEU
"Coverage is terrible today. I love Shay but not today. Hurry back",0.19,0.659,0.15,0.1406,POS
"thought it was just me.",0.0,1.0,0.0,0.0,NEU
"Denis Phillips… what kind of a window do you expect the storm surge to take place today… Let’s say around John’s Pass? Also, when are you going live on FB again?",0.0,1.0,0.0,0.0,NEU
"How’s that rule #7 working out? These tornado warnings freak me out!",0.0,0.65,0.35,-0.6588,NEG
"I'm sorry but the coverage of this ""crap"" has been utterly abysmal. This has NOT BEEN A TD OR TS. This has been tantamount to a Cat 1 hurricane. The entire weekend has been decimated because of a TD?? I've lived through Cat 3 freaking hurricanes that blew out of here in 8 hours. Enough lies. Report the truth. Beyond what is now way beyond, im still dealing with ridiculous rain and wind!!!! Not ok.",0.036,0.772,0.192,-0.9137,NEG
They are getting it bad 🙏,0.0,0.533,0.467,-0.5423,NEG
"Why does it look like it’s on fire 🔥",0.229,0.55,0.22,0.0258,NEU
Denis Phillips will you be jumping on live coverage today?,0.0,1.0,0.0,0.0,NEU
