A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
Everyone stay safe,0.592,0.408,0.0,0.4404,POS
Best weather of the summer. Nice and cool and no sun!,0.51,0.372,0.117,0.8122,POS
totally agree! I had a great little walk at 6:40 am today,0.482,0.518,0.0,0.8151,POS
"me too it was breezy and comfy!",0.0,1.0,0.0,0.0,NEU
"hey, Gina!",0.0,1.0,0.0,0.0,NEU
hey Joyce!!!,0.0,1.0,0.0,0.0,NEU
Thanks for the heads up!,0.444,0.556,0.0,0.4926,POS
"Great a tornado on top of a prison....",0.596,0.404,0.0,0.7096,POS
no. It's more west and in the cows and orange. I just hope the ppl out there are safe,0.252,0.652,0.096,0.5574,POS
well I guess it would be better on top of the prison 😂,0.398,0.409,0.193,0.3612,POS
"yes if it's the right one, maybe.",0.31,0.69,0.0,0.4019,POS
"Someone is on ABC, they’re going over the storm rotation/possible tornado & warnings, but it’s a lady’s voice & the radar.",0.0,0.914,0.086,-0.1531,NEG
they have other meteorologists. Maybe Nadeen. https://www.abcactionnews.com/about-us/staff,0.0,1.0,0.0,0.0,NEU
"It was Shay, the camera finally panned out & it was Shay, I just didn’t recognize her voice",0.0,1.0,0.0,0.0,NEU
Only part of these storms that freak me out.,0.0,0.734,0.266,-0.4404,NEG
"for good reason. I experienced one in NH once. The entire wall and bay window bucked in, than shattered. Trees in the air everywhere, and the neighborhood looked like a war zone. A true hit the deck situation. Never want to be in one again.",0.219,0.632,0.149,0.6008,POS
"I live in a mobile home so definitely freaks me out.",0.287,0.575,0.138,0.4239,POS
We starting to see rain here Tampa. Be safe everyone,0.244,0.756,0.0,0.4404,POS
Are flights to SRQ GROUNDED?,0.0,1.0,0.0,0.0,NEU
"It’s pouring in Tarpon Springs",0.0,1.0,0.0,0.0,NEU
Be safe.,0.744,0.256,0.0,0.4404,POS
"at work in brooksville just waiting for it get here",0.0,1.0,0.0,0.0,NEU
"Which way is this one heading?",0.0,1.0,0.0,0.0,NEU
"Tampa!!!",0.0,1.0,0.0,0.0,NEU
"Pasco heavy rain n wind Denis Phillips",0.0,1.0,0.0,0.0,NEU
🌪️,0.0,1.0,0.0,0.0,NEU
When you say “ABCAction News Ap” is that the one for Tampa if you are in Spring Hill?,0.0,1.0,0.0,0.0,NEU
yes,1.0,0.0,0.0,0.4019,POS
Thanks,1.0,0.0,0.0,0.4404,POS
"Well, for us older folks w/arthritis, my whole body feels & tells me the rain is coming. Thank God for Aleve & Ibuprofen !! Thank you, Mr, Phillips for all your hard work, you & your staff !! Listening from Port Richey/ Bayonet Point !!",0.213,0.759,0.029,0.8388,POS
and the barometric pressure headaches! 🤷🏻‍♀️😑,0.0,0.667,0.333,-0.3595,NEG
"Ahhhh I forgot about the barometric pressure causing aches & also migraines. I do struggle w/migraines a lot, especially in summertime ❤️",0.0,0.698,0.302,-0.6705,NEG
So no dog walks this morning.,0.0,0.667,0.333,-0.3597,NEG
"When are you going to be on Facebook or TV?",0.0,1.0,0.0,0.0,NEU
Everyone stay safe🙏🙏,0.0,1.0,0.0,0.0,NEU
"What area",0.0,1.0,0.0,0.0,NEU
it's highlighted in the picture,0.0,1.0,0.0,0.0,NEU
