A Tornado Warning has been issued for parts of Manatee County. Download the ABC Action News App for the latest information.,Pos,Neu,Neg,Compound,Overall Sentiment
I’m just north of Manatee along 41 in Apollo Beach. Feels like the calm before the storm out there and awfully warm. 😞🙏,0.259,0.741,0.0,0.7178,POS
Power just restored in Lakewood Ranch!,0.35,0.65,0.0,0.4003,POS
It’s crazy out there I live in Parrish! It’s never ending,0.0,0.77,0.23,-0.4003,NEG
Power out Valrico/Dover area,0.0,1.0,0.0,0.0,NEU
"Wow. This is crazy!!",0.499,0.228,0.273,0.4559,POS
you’re awake too I see. LOL! Go to sleep!,0.37,0.63,0.0,0.627,POS
I'm actually in Connecticut. I'm hopefully coming home on Tuesday.,0.231,0.769,0.0,0.4019,POS
"oh then you lucked out. …no tornado touchdowns…but the usual wind and rain havoc. Our standard gardenia got uprooted, no damage to lanai screens though.",0.087,0.633,0.28,-0.7506,NEG
"It did get pretty windy here for a bit.",0.314,0.686,0.0,0.4939,POS
"🙏🙏🙏",0.0,1.0,0.0,0.0,NEU
Is this ever going to stop ?,0.0,0.694,0.306,-0.296,NEG
"🙏🙏
",0.0,1.0,0.0,0.0,NEU
