A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
Prayers for all of FL being impacted by this Storm!,0.0,1.0,0.0,0.0,NEU
"We're used to this, and it's only a tropical storm ... 🙂 There's another one behind it, Denis Phillips will be busy this season for sure!! Mother Nature has awoken !",0.105,0.895,0.0,0.4898,POS
oh really. Didn't hear that. Guess I've been too busy wondering about this storm and busy with other things. Definitely need to keep watching. Sounds like it will be busy the next 3 months with storms. Praying nothing happens with these storms.,0.168,0.832,0.0,0.7717,POS
"Oh I know, Im a native Floridian. Born and raised here. Never hurts to pray.",0.165,0.709,0.126,0.1511,POS
Thank you🙏🏻🙏🏻🙏🏻,0.714,0.286,0.0,0.3612,POS
"Hi everyone — can someone give us some advice? We are staying at a condo right on the beach in siesta key and need to check out by 10am. Our flight isn’t until 9pm. Where is the safest place to go between now and then???",0.08,0.92,0.0,0.5661,POS
"maybe a mall in Sarasota area, or head to airport (just trying to think of large spaces with food options etc)",0.0,1.0,0.0,0.0,NEU
I would get another hotel. No way is a flight headed out tonight if your on the west coast.,0.0,0.879,0.121,-0.296,NEG
Pretty sure by tonite its gonna be gone,0.478,0.522,0.0,0.6705,POS
from your area yes...,0.0,1.0,0.0,0.0,NEU
"they'll re-route as much as they can to get flights out. It's not hitting bend til tomorrow, so they can go around some bands. Stopping all flights would be a nightmare for the airport and days of ppl stranded.",0.0,0.959,0.041,-0.1531,NEG
Agreed…. If they will let you book another night. Or stay at the airport. Very doubtful there will be flights tonight or tomorrow morning.,0.0,0.895,0.105,-0.4005,NEG
I never said they wouldn't cancel flight?...so not sure what you're getting at. 🤷‍♀️ they're going to take off as long as they can. They aren't going to shut it done for 24 hrs because of rain. These outer bands are basic storms. They reroute as much as they can.,0.034,0.927,0.039,-0.0572,NEG
"I would go closer to tampa. If the gusts get strong enough, they'll close down the skyway bridge. It will just be more traffic, time consuming for you all getting to the airport. Go closer to Brandon mall, go to a late lunch, movie, etc. Otherwise you'd be fine. Just avoid the traffic stresses. 🙂
**oops...just assumed it was tampa, since its my go to airport...🤣 so if so, I'd do that. If sarasota or south of skyway, I'd probably do same thing. Wander around mall, can relax in massage chairs for a long day, movies, etc. Enjoy your last day!",0.107,0.845,0.048,0.7424,POS
If your flight goes out the airport is safe. Being on the road is prob the most dangerous part.,0.125,0.73,0.146,-0.1263,NEG
"sorry for the extra excitement with your vacation. Keep in contact with your airline about your flight.
Consider keeping to stores and restaurants near the airport. Be prepared to book a hotel for the night.",0.136,0.829,0.035,0.5859,POS
Checking in from our roadtrip in Canada as we watch out for our home in The Villages. Thanks for the continued updates! 🙏🙏🙏,0.127,0.873,0.0,0.4926,POS
"Nothing Clearwater beach side. Watched the Dolphins play in Tropical Storm Debby",0.179,0.821,0.0,0.34,POS
"Have a feeling it will happen multiple times today!",0.204,0.796,0.0,0.2003,POS
"Stay safe people!",0.615,0.385,0.0,0.4926,POS
I'm stuck waiting for crew at the airport,0.0,0.778,0.222,-0.25,NEG
"I hope people stay safe and are prepared just in case, so many down play it like its just a tropical rain storm .... They said the same when IAN turned at the last minute and hit like a vengeance. So far Pinellas looks like they will be spared but it can change in an instant.",0.213,0.787,0.0,0.8142,POS
We are between Sarasota and St. Petersburg.,0.0,1.0,0.0,0.0,NEU
it’s gonna get 🌧️,0.0,1.0,0.0,0.0,NEU
"I’m in Arcadia snd my phone about jumped out of my hand when alert came in….so far , so good but Desoto a big county",0.233,0.767,0.0,0.6213,POS
I better get the dog out for a walk really quick,0.266,0.734,0.0,0.4404,POS
I'm in Charlotte County which direction is it headed,0.0,1.0,0.0,0.0,NEU
"it's going up to the Big Bend area. NHC shows us getting lots of rain, and gusts up to 40 mph.",0.0,1.0,0.0,0.0,NEU
the tornado warning?,0.0,0.455,0.545,-0.34,NEG
I checked NOAA and we are not in that path,0.0,1.0,0.0,0.0,NEU
"thank you much 🙏🏼",0.455,0.545,0.0,0.3612,POS
it looks like Arcadia!,0.482,0.518,0.0,0.4199,POS
"that's why I was asking, saw the map",0.0,1.0,0.0,0.0,NEU
"""A Tornado Warning has been issued for parts of DeSoto, Hardee, Manatee until Aug 04 9:15AM. Download the ABC Action News App for the latest weather information."" That was from Denis Phillips",0.0,0.928,0.072,-0.34,NEG
"A Tornado Warning has been issued for parts of DeSoto, Hardee, Manatee until Aug 04 9:15AM. Download the ABC Action News App for the latest weather information. Via Denis Phillips",0.0,0.921,0.079,-0.34,NEG
What about Ocala area? Marion county,0.0,1.0,0.0,0.0,NEU
"Hope you and the team take turns napping. Since you said the storm will be slowing, gonna be a long couple of days. Thanks I'll be tuned in!",0.196,0.804,0.0,0.7263,POS
"Calm before the storm. Winter Haven, nice breeze.",0.459,0.541,0.0,0.6249,POS
May God protect everyone...in prayers.,0.61,0.39,0.0,0.5719,POS
"Venice area ,just had torrential down pour 😮🙏",0.0,1.0,0.0,0.0,NEU
Got my coffee sitting outside so let's go Debbie let's go😁🤣,0.0,1.0,0.0,0.0,NEU
That’s close to home,0.0,1.0,0.0,0.0,NEU
I just had a tornado warning,0.0,0.556,0.444,-0.34,NEG
"It's just some rain here in Largo, nothing much has happened.",0.0,1.0,0.0,0.0,NEU
"Wind picked up with moderate rain-Venice 41 and Rockley
944 am",0.0,1.0,0.0,0.0,NEU
What is “our area” please?,0.365,0.635,0.0,0.3182,POS
"where the arrow is pointing, Arcadia",0.0,1.0,0.0,0.0,NEU
"thank you. I’m a Brit currently in Florida on vacation.",0.238,0.762,0.0,0.3612,POS
no problem ! Welcome to Florida and stay safe and dry ! I hope you enjoy the rest of your time here ! ☀️,0.405,0.441,0.154,0.8392,POS
"hide from wind, run from rain. And Denis Phillips. Rule #7: Don’t freak out until he does. Just keep following him. He’s the best!",0.14,0.698,0.163,0.2244,POS
"Good morning Denis. Hope all’s well your side. As always, thks for being you & here for all of us❣️🤓",0.407,0.593,0.0,0.8519,POS
Here comes the stormy weather!!,0.0,1.0,0.0,0.0,NEU
"Sarasota stay safe please",0.722,0.278,0.0,0.6369,POS
Stay safe everyone!,0.615,0.385,0.0,0.4926,POS
Lots of prayers,0.0,1.0,0.0,0.0,NEU
All good in San Antonio Fl,0.367,0.633,0.0,0.4404,POS
Stay safe everyone,0.592,0.408,0.0,0.4404,POS
Book a room at Airport and go there.,0.0,1.0,0.0,0.0,NEU
Our street sprung a leak and after numerous calls to Pinellas utilities still flooding with this storm happening. Shame on SPB.,0.0,0.766,0.234,-0.6705,NEG
I was just notified about thus. 3 days too late.,0.0,1.0,0.0,0.0,NEU
God please be with our family and friends who are in the area of this tornado warning.,0.328,0.568,0.105,0.6249,POS
"When you say ""our area"" can you be more specific? As various counties IN Tampa Bay consider ourselves ""Bay area"" but, not literal Tampa. Thank you",0.0,0.904,0.096,-0.395,NEG
"I think it’s where the arrow is pointing",0.0,1.0,0.0,0.0,NEU
yes but still upon first reading it the term our area is very broad,0.125,0.875,0.0,0.2144,POS
This wind in st pete is CRAZY,0.0,0.657,0.343,-0.4824,NEG
"Pouring here in Westchase but no wind or thunder yet.",0.0,0.763,0.237,-0.4215,NEG
"Being out on the road, crossing bridges, etc is not safe. Stay in your hotel lobby or find another hotel close by. If you are near a mall that's another option.",0.035,0.889,0.076,-0.3195,NEG
Thanks again,0.744,0.256,0.0,0.4404,POS
Stay safe.,0.744,0.256,0.0,0.4404,POS
"We are easy for the surge.",0.367,0.633,0.0,0.4404,POS
where did you get these please?,0.315,0.685,0.0,0.3182,POS
its called Dam Easy. We had it installed by JMI windows who is a contractor for them. Send me a message through messenger if you want the contact info.,0.144,0.856,0.0,0.4939,POS
They are not removable?,0.0,1.0,0.0,0.0,NEU
"they are removable. This was before.",0.0,1.0,0.0,0.0,NEU
"just curious , how does each section seal? Rubber gaskets on 3 edges, and what keeps the water from collapsing multiple sections? Great decision",0.242,0.68,0.079,0.6767,POS
"yes, there is a pull which expands the sides to each post. Then a pump to fill the gaskets with air to create the seal. They are designed to withstand 150 mph winds. Each post is screw’s into hole that are drilled in the concrete.",0.134,0.866,0.0,0.6369,POS
"wish my sons mother in law would invest, on inner coastal in StPetes beach.Nail biter every surge forecast. Dont understand on a 800K home.",0.109,0.891,0.0,0.4019,POS
it took awhile for my mother in law to do this. After Idailia last year and 4-6 inches of water and us convincing her she agreed.,0.167,0.833,0.0,0.5859,POS
Brilliant,1.0,0.0,0.0,0.5859,POS
And the fun begins,0.524,0.476,0.0,0.5106,POS
"Windy here in NE Polk...is it a Debby affect ?",0.0,1.0,0.0,0.0,NEU
Praying,1.0,0.0,0.0,0.3612,POS
"Stay safe 🙏",0.744,0.256,0.0,0.4404,POS
"No alerts for Pinellas or Hillsborough?",0.0,0.694,0.306,-0.296,NEG
"not fur us it's further. South. I thought the same too when he said ""our area"" I'm in pinellas",0.0,1.0,0.0,0.0,NEU
"uh do you not care about Pasco mother?",0.0,0.727,0.273,-0.3875,NEG
of course I do,0.0,1.0,0.0,0.0,NEU
"WTH is this now??? Don't you get tired of fighting the weather???",0.127,0.474,0.4,-0.7341,NEG
the outer bands of Debby,0.0,1.0,0.0,0.0,NEU
"what, this? Nah, I like storms like this. We need the rain, but can do without the damage of a hurricane",0.3,0.648,0.052,0.6948,POS
When are you going on abc TV?,0.0,1.0,0.0,0.0,NEU
What is the number to get text alerts for weather warnings?,0.104,0.72,0.176,-0.2263,NEG
"And so it begins … praying for power to last.",0.257,0.743,0.0,0.4144,POS
Better to sleep in hotel than airport.,0.326,0.674,0.0,0.4404,POS
"Are any flights canceled that you know of at this point DP? 😆 🤣 😂",0.0,1.0,0.0,0.0,NEU
"Thank you for the updates, Denis Phillips. I have friends and family in Florida. May the Lord watch over everyone and keep you safe. Psalm 91:11 ❤👏",0.27,0.73,0.0,0.8176,POS
Winds are picking up a bit with continuous light rain so far. 6 p.m is the ETA for Pinellas County area.,0.0,1.0,0.0,0.0,NEU
"Thinking of you, Margaret Prayers you don’t get damage to the house 🙏🙏",0.0,0.789,0.211,-0.4939,NEG
🙏🙏,0.0,1.0,0.0,0.0,NEU
🙏,0.0,0.0,0.0,0.0,NEU
