A Tornado Warning has been issued for parts of Manatee County. Download the ABC Action News App for the latest information.,Pos,Neu,Neg,Compound,Overall Sentiment
I’d love to be able to see roads so it’s more pinpointed.,0.276,0.724,0.0,0.6369,POS
Whats a good app to download that is a live radar one??,0.266,0.734,0.0,0.504,POS
Storm Shield.,0.0,1.0,0.0,0.0,NEU
"Thank ya maaim",0.556,0.444,0.0,0.3612,POS
"you are welcome. Denis suggests it.",0.375,0.625,0.0,0.4588,POS
"im waiting for it to download now 😊",0.0,1.0,0.0,0.0,NEU
lmk how you like it.,0.385,0.615,0.0,0.3612,POS
Is it odd that they haven’t issues a tornado watch yet?,0.0,0.796,0.204,-0.3182,NEG
Stay safe !! 💕,0.635,0.365,0.0,0.5399,POS
"you too!",0.0,1.0,0.0,0.0,NEU
