A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
"Thanks Denis, Rule 7.",0.492,0.508,0.0,0.4404,POS
"Love you Denis but ""our area"" isn't a good point of reference if we don't watch you enough to know where ""our area"" is. I do appreciate your hard work though! ",0.178,0.692,0.13,0.4084,POS
it’s right in the map he shared. “Our area” is his coverage area. He has a lot of area to cover. The area and box on the map he shared shows exactly what he’s talking about.,0.127,0.873,0.0,0.5859,POS
"I knew that comment would bring some overly defensive folks out of the wood work, just a few 🤏🏻😄",0.064,0.936,0.0,0.0258,NEU
Lots of tornado warnings in Hardee county today.,0.0,0.761,0.239,-0.296,NEG
What's our area? I'm in Largo...,0.0,1.0,0.0,0.0,NEU
"Denis is based out of Tampa bay.",0.0,1.0,0.0,0.0,NEU
love him but he should have said that for those who don't follow often enough to know,0.14,0.86,0.0,0.3818,POS
"follow your local meteorologist",0.0,1.0,0.0,0.0,NEU
"or look at the picture with the arrow pointing to the area",0.0,1.0,0.0,0.0,NEU
"he is my meteorologist! And I still don’t know where?",0.0,1.0,0.0,0.0,NEU
could you tell me how close this is to Clearwater beach? My daughter is there for her honeymoon and she's scared. We're from Upstate NY.,0.0,0.892,0.108,-0.4404,NEG
thank you! Stay safe all 🙏,0.655,0.345,0.0,0.69,POS
now they’re near the beach!,0.0,1.0,0.0,0.0,NEU
I saw that she will be okay. I hope everybody is safe 🙏🙏🙏,0.49,0.51,0.0,0.7717,POS
"Denis Phillips … is it Tampa?",0.0,1.0,0.0,0.0,NEU
"starting to see the rain in brooksville",0.0,1.0,0.0,0.0,NEU
we own a modular in Brooksville. Do you the we are going to take a direct hit?,0.0,1.0,0.0,0.0,NEU
we’re good still,0.592,0.408,0.0,0.4404,POS
"A steady light rain, little bit of wind in Port Richey/Bayonet Point",0.0,1.0,0.0,0.0,NEU
Everyone stay safe🙏,0.0,1.0,0.0,0.0,NEU
I want a Denis Phillips for north east FL 😭. We moved to Nassau county and don’t have someone like Denis,0.183,0.817,0.0,0.4215,POS
i know. He keeps me calm. The other news people make you feel like your going to die any moment. 🤣🤣🤣,0.187,0.661,0.152,-0.0258,NEU
"so true and they don’t update the same way either",0.256,0.744,0.0,0.4754,POS
be safe.,0.744,0.256,0.0,0.4404,POS
thank you! You as well!,0.633,0.367,0.0,0.6351,POS
"Coming down pretty good here in Holiday again, Thanks for keeping Us updated 👍👍👀",0.539,0.461,0.0,0.8934,POS
Sebring doing 😃👍🎉,0.0,1.0,0.0,0.0,NEU
"Currently only experienced light rain at my place. It was breezy earlier, but the winds seem to have calmed down.",0.152,0.848,0.0,0.5267,POS
"still yet to see anything significant in Palm Harbor East Lake area.",0.141,0.859,0.0,0.2023,POS
where are YOU? Watching ABC action news and the confusion and frantic presentation is embarrassing,0.0,0.609,0.391,-0.7717,NEG
"is ABC Action News on Dish I can't find it",0.0,1.0,0.0,0.0,NEU
"We had it earlier in Punta Gorda.",0.0,1.0,0.0,0.0,NEU
"I can't even find ABC channel on my tv",0.0,1.0,0.0,0.0,NEU
"Eastbound 640 into Homeland.",0.0,1.0,0.0,0.0,NEU
It’s pointing to the area in the picture…😑,0.0,1.0,0.0,0.0,NEU
Why am I getting all of these notifications 3 to 6 days later doesn't do any good if I don't see it when it's happening,0.0,0.893,0.107,-0.3412,NEG
"Why are all of your posts from 6 days ago popping up yesterday and today?",0.0,1.0,0.0,0.0,NEU
They always seem to spin up in that area!,0.0,1.0,0.0,0.0,NEU
"Nothing currently happening on the North Eastern end of Citrus County as of yet.",0.0,1.0,0.0,0.0,NEU
were back in warning,0.0,0.556,0.444,-0.34,NEG
Thank you,0.714,0.286,0.0,0.3612,POS
"Thank you 🙏",0.714,0.286,0.0,0.3612,POS
"Denis Phillips thank you! New Port Richey/Trinity border, we have rain but almost no wind...???",0.098,0.725,0.178,-0.349,NEG
The water is pretty high on Dunedin causeway.,0.314,0.686,0.0,0.4939,POS
that is high for DC,0.0,1.0,0.0,0.0,NEU
what time was this picture taken?,0.0,1.0,0.0,0.0,NEU
12:15.,0.0,1.0,0.0,0.0,NEU
