A Tornado Warning has been issued for our area. Stay tuned for further updates on your ABC Action News Station.,Pos,Neu,Neg,Compound,Overall Sentiment
Many prayers for Florida Hope all are safe,0.492,0.508,0.0,0.7003,POS
thank you,0.714,0.286,0.0,0.3612,POS
"Just drove to work from South Riverview to Tampa. Windy, very little rain, roads look good. Didn’t see any standing water. Would not recommend taking the upper deck of the Crosstown due to the wind gusts 👀.",0.072,0.875,0.053,0.1999,POS
Where exactly is the Tornado warning? I'm in Zephyrhills and going to work in New Tampa,0.0,0.862,0.138,-0.34,NEG
looks to be just East of Zephyrhills in the green swamp I think they call it,0.0,1.0,0.0,0.0,NEU
it was here in Lakeland,0.0,1.0,0.0,0.0,NEU
"be safe!!! ♥️",0.654,0.346,0.0,0.5826,POS
I'm going to give it my best Lori. Same to you. I hope you don't have to go out. Kisses to Cooper. I hope what's his name stays safe too. LOL,0.462,0.538,0.0,0.9625,POS
"please be careful out there",0.565,0.435,0.0,0.4404,POS
"I promise. You too",0.535,0.465,0.0,0.3182,POS
Can I make it across the Howard Franklin from Tampa to south st Pete?,0.0,1.0,0.0,0.0,NEU
"south bound is open, north bound Howard Franklin is closed. So yes, but getting home may be a different story. Depends on how the day goes.",0.077,0.923,0.0,0.2492,POS
"yep I’ll have to leave by 3 to get home, so hopefully it’ll be open 🤞",0.318,0.615,0.067,0.6696,POS
I wouldn't get on there saw a video water was crashing on the road,0.0,1.0,0.0,0.0,NEU
"hmmmm I will have to leave St Pete at 3, wondering if it’ll be worse or not",0.0,0.765,0.235,-0.5106,NEG
Still? I slept through most of it I thought. Better go look and see how my plants are.,0.162,0.838,0.0,0.4404,POS
I would not. A video was scary,0.396,0.604,0.0,0.3875,POS
"their all probably saturated big time, mine too. I just sat my hanging baskets down out back into the ferns area so they didn't blow around. Now they need drying out big time! At least we don't need to water for awhile.",0.0,1.0,0.0,0.0,NEU
absolutely! Just checked and same situation here. They’re all flooded. Will get out in a bit to empty them and try to move them to the porch. Everything on the porch is still standing,0.0,0.939,0.061,-0.2714,NEG
I wonder if some of mine will end up dying ones outside so soaked. It's supposed to clear and sun tomorrow will put them all out hoping they dry out! My back porch is good but wet where the rain blew in. Auch a mess! Praying no more storms!,0.172,0.722,0.106,0.4071,POS
I was awakened by the phone warning at 6 am in north Lakeland. The wind was horrible. Prayers that everyone is ok. It is still quite gusty here.,0.071,0.74,0.19,-0.5719,NEG
"Thank you for updating us. Still no power 😭 out by Dunedin.",0.182,0.657,0.161,0.0772,POS
How are the road? I have to go the work,0.0,1.0,0.0,0.0,NEU
Thank You for all your updates.,0.333,0.667,0.0,0.3612,POS
he has been a great source for sure 💫,0.561,0.439,0.0,0.7506,POS
"Longest storm ever. I underestimated this little Debby!",0.0,0.715,0.285,-0.3382,NEG
literally so long. Feels like we waited forever for it to get here and now it just won't leave 😂😭,0.179,0.821,0.0,0.4426,POS
"yess, totally underestimated her!",0.0,0.528,0.472,-0.3989,NEG
We are getting a down poor and crazy wind right now in Ruskin. I am about 4 miles from Sun City Center.,0.0,0.756,0.244,-0.6705,NEG
Denis Phillips when do you recall there being this many tornadoes with a storm/hurricane? I also don’t remember there being so much lightning with a storm/hurricane before?,0.0,1.0,0.0,0.0,NEU
"I don’t remember lightning either.",0.0,1.0,0.0,0.0,NEU
Thank you for keeping us updated,0.333,0.667,0.0,0.3612,POS
"Have there been any tornadoes? We have had multiple seek shelter warmings in Parrish.",0.0,1.0,0.0,0.0,NEU
Whats your prediction for amount of rain coverage in st pete today? To me the radar looks spotty but my apps are showing high percentage all day.,0.0,1.0,0.0,0.0,NEU
113th Seminole to East Bay was perfect,0.381,0.619,0.0,0.5719,POS
Day 2 of more water Debbie isn't little lol,0.0,0.768,0.232,-0.2767,NEG
We definitely heard something around 2 not going to lie I got scared being were in mobile home,0.138,0.714,0.148,-0.0516,NEG
I woke up to the sounds of crazy winds.,0.0,0.745,0.255,-0.34,NEG
me too sounded like my.roof was going to come off... it was bone chilling.,0.16,0.769,0.071,0.34,POS
What part of Lakeland?,0.0,1.0,0.0,0.0,NEU
"same here",0.0,1.0,0.0,0.0,NEU
North Lakeland,0.0,1.0,0.0,0.0,NEU
where at?,0.0,1.0,0.0,0.0,NEU
belcher,0.0,1.0,0.0,0.0,NEU
"North Lakeland but the wind is not so bad now",0.351,0.649,0.0,0.7073,POS
Which county,0.0,1.0,0.0,0.0,NEU
😬😬😱,0.0,1.0,0.0,0.0,NEU
🙏,0.0,0.0,0.0,0.0,NEU
We're in a safe place my phone woke me up,0.266,0.734,0.0,0.4404,POS
Thank you for all the hard work and updates through this. Rural area and it's greatly appreciated,0.283,0.651,0.065,0.6901,POS
When might tornado warnings end today?,0.0,0.694,0.306,-0.296,NEG
Thank you!,0.736,0.264,0.0,0.4199,POS
"Do you see just St Augustine getting rain? Seems as it gets up this way it will be more inland like Fruit Cove, etc",0.108,0.892,0.0,0.4173,POS
"can you play the interactive radar and see what rain you will be getting?",0.156,0.844,0.0,0.34,POS
"Is that tornado warning in Brandon?",0.0,0.676,0.324,-0.34,NEG
I'm in the tornado box 😅,0.0,1.0,0.0,0.0,NEU
I was too.. it was rockridge,0.0,1.0,0.0,0.0,NEU
me too,0.0,1.0,0.0,0.0,NEU
:,0.0,0.0,0.0,0.0,NEU
I 75 south near I 4 has been shut down,0.0,1.0,0.0,0.0,NEU
